Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Walmart Inc.,Consumer Defensive,Discount Stores,US,WMT,60.0,60.0,23.0,85.0,27.0,99.0,12.0,59.0,31.0,74.0,40.0,41.0,33.0,62.0,39.0,67.0,38.0
JPMorgan Chase & Co.,Financial Services,Banks - Diversified,US,JPM,9.0,9.0,3.0,77.0,4.0,67.0,86.0,10.0,75.0,91.0,1.0,15.0,98.0,8.0,11.0,88.0,14.0
Visa Inc.,Financial Services,Financial - Credit Services,US,V,39.0,39.0,62.0,48.0,72.0,23.0,57.0,53.0,69.0,75.0,34.0,51.0,75.0,83.0,30.0,36.0,92.0
UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,US,UNH,52.0,52.0,81.0,94.0,87.0,7.0,24.0,53.0,65.0,53.0,64.0,67.0,61.0,75.0,48.0,65.0,64.0
Exxon Mobil Corporation,Energy,Oil & Gas Integrated,US,XOM,25.0,25.0,73.0,27.0,66.0,38.0,76.0,26.0,81.0,92.0,21.0,29.0,65.0,74.0,24.0,23.0,51.0
Oracle Corporation,Technology,Software - Infrastructure,US,ORCL,51.0,51.0,58.0,47.0,99.0,13.0,59.0,80.0,28.0,65.0,40.0,38.0,56.0,51.0,38.0,39.0,55.0
Mastercard Incorporated,Financial Services,Financial - Credit Services,US,MA,49.0,49.0,71.0,75.0,32.0,64.0,57.0,50.0,66.0,70.0,38.0,75.0,58.0,68.0,58.0,64.0,33.0
Costco Wholesale Corporation,Consumer Defensive,Discount Stores,US,COST,45.0,45.0,42.0,90.0,24.0,63.0,86.0,72.0,41.0,53.0,74.0,60.0,30.0,88.0,26.0,54.0,65.0
"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,US,HD,71.0,71.0,31.0,39.0,69.0,56.0,24.0,35.0,44.0,72.0,54.0,58.0,67.0,51.0,61.0,55.0,59.0
The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,US,PG,57.0,57.0,29.0,45.0,76.0,35.0,38.0,45.0,46.0,56.0,60.0,53.0,62.0,29.0,53.0,52.0,41.0
"Netflix, Inc.",Communication Services,Entertainment,US,NFLX,93.0,93.0,77.0,23.0,74.0,37.0,66.0,93.0,97.0,19.0,91.0,36.0,16.0,27.0,9.0,1.0,12.0
Johnson & Johnson,Healthcare,Drug Manufacturers - General,US,JNJ,50.0,50.0,66.0,66.0,35.0,51.0,78.0,51.0,46.0,49.0,51.0,56.0,52.0,59.0,40.0,51.0,56.0
Bank of America Corporation,Financial Services,Banks - Diversified,US,BAC,98.0,98.0,4.0,86.0,11.0,88.0,43.0,97.0,62.0,14.0,25.0,83.0,95.0,18.0,22.0,51.0,13.0
"Salesforce, Inc.",Technology,Software - Application,US,CRM,70.0,70.0,15.0,72.0,87.0,80.0,14.0,58.0,69.0,59.0,68.0,71.0,69.0,71.0,77.0,72.0,67.0
AbbVie Inc.,Healthcare,Drug Manufacturers - General,US,ABBV,36.0,36.0,84.0,23.0,54.0,27.0,57.0,37.0,61.0,69.0,70.0,42.0,74.0,76.0,37.0,89.0,20.0
Chevron Corporation,Energy,Oil & Gas Integrated,US,CVX,24.0,24.0,70.0,36.0,38.0,65.0,72.0,26.0,83.0,90.0,19.0,33.0,79.0,82.0,22.0,20.0,38.0
The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,US,KO,47.0,47.0,10.0,95.0,25.0,27.0,41.0,49.0,43.0,68.0,42.0,77.0,54.0,28.0,30.0,42.0,51.0
"T-Mobile US, Inc.",Communication Services,Telecommunications Services,US,TMUS,52.0,52.0,52.0,45.0,65.0,42.0,58.0,53.0,67.0,79.0,67.0,86.0,49.0,20.0,60.0,71.0,66.0
"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,US,MRK,23.0,23.0,73.0,72.0,98.0,13.0,83.0,24.0,74.0,72.0,31.0,71.0,84.0,20.0,30.0,80.0,24.0
Wells Fargo & Company,Financial Services,Banks - Diversified,US,WFC,72.0,72.0,17.0,87.0,10.0,59.0,99.0,72.0,96.0,3.0,17.0,12.0,87.0,100.0,8.0,31.0,14.0
Royal Bank of Canada,Financial Services,Banks - Diversified,CA,RY.TO,57.0,57.0,65.0,33.0,89.0,5.0,35.0,58.0,20.0,25.0,98.0,28.0,16.0,76.0,58.0,80.0,90.0
"Cisco Systems, Inc.",Technology,Communication Equipment,US,CSCO,18.0,18.0,41.0,37.0,96.0,18.0,18.0,73.0,43.0,53.0,45.0,65.0,39.0,49.0,56.0,49.0,42.0
"Advanced Micro Devices, Inc.",Technology,Semiconductors,US,AMD,16.0,16.0,49.0,48.0,75.0,41.0,52.0,16.0,55.0,92.0,87.0,99.0,16.0,25.0,91.0,7.0,76.0
Adobe Inc.,Technology,Software - Infrastructure,US,ADBE,37.0,37.0,48.0,69.0,48.0,38.0,35.0,39.0,60.0,67.0,69.0,60.0,76.0,73.0,79.0,60.0,62.0
"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,US,PEP,61.0,61.0,81.0,90.0,15.0,50.0,85.0,62.0,48.0,58.0,57.0,53.0,36.0,38.0,41.0,48.0,58.0
Morgan Stanley,Financial Services,Financial - Capital Markets,US,MS,2.0,2.0,21.0,6.0,89.0,2.0,86.0,2.0,11.0,92.0,8.0,97.0,95.0,4.0,22.0,94.0,11.0
"ServiceNow, Inc.",Technology,Software - Application,US,NOW,61.0,61.0,50.0,20.0,53.0,94.0,21.0,62.0,69.0,65.0,75.0,81.0,69.0,95.0,16.0,90.0,85.0
The Walt Disney Company,Communication Services,Entertainment,US,DIS,69.0,69.0,81.0,27.0,82.0,21.0,76.0,77.0,60.0,35.0,61.0,16.0,61.0,36.0,66.0,58.0,54.0
McDonald's Corporation,Consumer Cyclical,Restaurants,US,MCD,64.0,64.0,72.0,27.0,59.0,36.0,79.0,65.0,40.0,75.0,31.0,66.0,69.0,34.0,36.0,40.0,41.0
American Express Company,Financial Services,Financial - Credit Services,US,AXP,33.0,33.0,9.0,31.0,53.0,36.0,83.0,35.0,77.0,89.0,19.0,81.0,21.0,83.0,25.0,42.0,74.0
International Business Machines Corporation,Technology,Information Technology Services,US,IBM,66.0,66.0,65.0,21.0,58.0,71.0,55.0,66.0,40.0,34.0,66.0,40.0,33.0,48.0,40.0,48.0,43.0
Philip Morris International Inc.,Consumer Defensive,Tobacco,US,PM,32.0,32.0,28.0,98.0,21.0,45.0,43.0,33.0,46.0,65.0,45.0,57.0,53.0,57.0,50.0,49.0,28.0
Abbott Laboratories,Healthcare,Medical - Devices,US,ABT,26.0,26.0,65.0,74.0,30.0,75.0,72.0,28.0,46.0,71.0,69.0,40.0,59.0,85.0,55.0,29.0,61.0
Thermo Fisher Scientific Inc.,Healthcare,Medical - Diagnostics & Research,US,TMO,36.0,36.0,52.0,67.0,29.0,73.0,73.0,38.0,50.0,62.0,81.0,60.0,59.0,70.0,59.0,54.0,75.0
"Intuitive Surgical, Inc.",Healthcare,Medical - Instruments & Supplies,US,ISRG,59.0,59.0,54.0,98.0,24.0,20.0,32.0,60.0,34.0,73.0,41.0,77.0,50.0,57.0,74.0,61.0,27.0
General Electric Company,Industrials,Aerospace & Defense,US,GE,33.0,33.0,73.0,36.0,29.0,77.0,93.0,35.0,84.0,44.0,19.0,90.0,15.0,100.0,8.0,24.0,44.0
Shopify Inc.,Technology,Software - Application,CA,SHOP.TO,98.0,98.0,60.0,62.0,37.0,75.0,85.0,97.0,10.0,64.0,96.0,98.0,63.0,18.0,33.0,99.0,7.0
Intuit Inc.,Technology,Software - Application,US,INTU,40.0,40.0,35.0,13.0,97.0,97.0,10.0,65.0,67.0,71.0,53.0,60.0,72.0,61.0,36.0,51.0,56.0
Caterpillar Inc.,Industrials,Agricultural - Machinery,US,CAT,77.0,77.0,56.0,63.0,37.0,46.0,60.0,77.0,60.0,61.0,40.0,56.0,61.0,49.0,30.0,29.0,30.0
"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,US,GS,4.0,4.0,4.0,96.0,92.0,82.0,6.0,4.0,98.0,85.0,8.0,66.0,94.0,2.0,28.0,93.0,5.0
Texas Instruments Incorporated,Technology,Semiconductors,US,TXN,25.0,25.0,51.0,66.0,37.0,46.0,66.0,26.0,52.0,74.0,41.0,36.0,73.0,63.0,56.0,56.0,64.0
Verizon Communications Inc.,Communication Services,Telecommunications Services,US,VZ,44.0,44.0,48.0,59.0,52.0,36.0,52.0,45.0,48.0,46.0,62.0,54.0,77.0,59.0,17.0,69.0,30.0
QUALCOMM Incorporated,Technology,Semiconductors,US,QCOM,50.0,50.0,35.0,33.0,71.0,31.0,72.0,62.0,43.0,82.0,33.0,88.0,28.0,20.0,74.0,20.0,52.0
Booking Holdings Inc.,Consumer Cyclical,Travel Services,US,BKNG,53.0,53.0,39.0,37.0,85.0,46.0,31.0,54.0,89.0,99.0,12.0,35.0,60.0,65.0,70.0,53.0,73.0
Danaher Corporation,Healthcare,Medical - Diagnostics & Research,US,DHR,31.0,31.0,49.0,31.0,66.0,45.0,35.0,33.0,55.0,71.0,79.0,41.0,61.0,41.0,36.0,48.0,55.0
Comcast Corporation,Communication Services,Telecommunications Services,US,CMCSA,50.0,50.0,68.0,24.0,74.0,31.0,53.0,51.0,46.0,63.0,44.0,56.0,60.0,58.0,50.0,57.0,68.0
AT&T Inc.,Communication Services,Telecommunications Services,US,T,58.0,58.0,53.0,52.0,44.0,55.0,47.0,59.0,36.0,48.0,38.0,62.0,61.0,39.0,57.0,60.0,38.0
AT&T Inc. 5.35% GLB NTS 66,Communication Services,Telecommunications Services,US,TBB,58.0,58.0,53.0,52.0,44.0,55.0,47.0,59.0,36.0,48.0,38.0,62.0,61.0,39.0,57.0,60.0,38.0
AT&T Inc. 5.625% Global Notes d,Communication Services,Telecommunications Services,US,TBC,58.0,58.0,53.0,52.0,44.0,55.0,47.0,59.0,36.0,48.0,38.0,62.0,61.0,39.0,57.0,60.0,38.0
RTX Corporation,Industrials,Aerospace & Defense,US,RTX,52.0,52.0,38.0,96.0,21.0,69.0,94.0,52.0,55.0,84.0,19.0,78.0,58.0,78.0,20.0,32.0,57.0
"BlackRock, Inc.",Financial Services,Asset Management,US,BLK,31.0,31.0,43.0,95.0,16.0,64.0,73.0,33.0,54.0,70.0,69.0,37.0,26.0,85.0,24.0,40.0,34.0
"NextEra Energy, Inc.",Utilities,Regulated Electric,US,NEE,67.0,67.0,50.0,56.0,65.0,35.0,57.0,68.0,61.0,46.0,45.0,71.0,50.0,48.0,51.0,58.0,58.0
S&P Global Inc.,Financial Services,Financial - Data & Stock Exchanges,US,SPGI,70.0,70.0,38.0,69.0,47.0,66.0,63.0,70.0,34.0,53.0,69.0,76.0,50.0,75.0,98.0,11.0,80.0
Amgen Inc.,Healthcare,Drug Manufacturers - General,US,AMGN,33.0,33.0,67.0,88.0,73.0,16.0,25.0,34.0,58.0,42.0,60.0,28.0,49.0,55.0,61.0,53.0,77.0
The Progressive Corporation,Financial Services,Insurance - Property & Casualty,US,PGR,75.0,75.0,66.0,29.0,83.0,31.0,69.0,75.0,44.0,60.0,57.0,42.0,83.0,75.0,64.0,72.0,38.0
"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement,US,LOW,38.0,38.0,20.0,28.0,94.0,51.0,15.0,33.0,47.0,89.0,28.0,70.0,33.0,64.0,40.0,65.0,59.0
Stryker Corporation,Healthcare,Medical - Devices,US,SYK,69.0,69.0,83.0,86.0,23.0,71.0,72.0,70.0,39.0,49.0,77.0,30.0,83.0,30.0,88.0,16.0,41.0
Honeywell International Inc.,Industrials,Conglomerates,US,HON,44.0,44.0,67.0,86.0,23.0,76.0,64.0,45.0,44.0,48.0,39.0,58.0,55.0,56.0,48.0,55.0,65.0
"Uber Technologies, Inc.",Technology,Software - Application,US,UBER,96.0,96.0,56.0,54.0,83.0,38.0,32.0,96.0,94.0,82.0,72.0,6.0,34.0,79.0,42.0,,
Union Pacific Corporation,Industrials,Railroads,US,UNP,34.0,34.0,65.0,35.0,56.0,56.0,48.0,36.0,57.0,56.0,46.0,42.0,65.0,38.0,50.0,42.0,58.0
"Applied Materials, Inc.",Technology,Semiconductors,US,AMAT,42.0,42.0,26.0,70.0,41.0,72.0,23.0,76.0,52.0,74.0,62.0,31.0,52.0,78.0,89.0,21.0,94.0
The Charles Schwab Corporation,Financial Services,Financial - Capital Markets,US,SCHW,98.0,98.0,95.0,11.0,16.0,94.0,47.0,98.0,50.0,22.0,30.0,25.0,99.0,16.0,89.0,17.0,79.0
Pfizer Inc.,Healthcare,Drug Manufacturers - General,US,PFE,12.0,12.0,95.0,4.0,25.0,72.0,94.0,12.0,45.0,87.0,60.0,27.0,37.0,51.0,57.0,32.0,42.0
Blackstone Inc.,Financial Services,Asset Management,US,BX,21.0,21.0,95.0,99.0,20.0,37.0,24.0,22.0,81.0,85.0,46.0,100.0,88.0,3.0,7.0,76.0,17.0
KKR & Co. Inc.,Financial Services,Asset Management,US,KKR,79.0,79.0,22.0,51.0,65.0,53.0,88.0,79.0,70.0,38.0,43.0,72.0,9.0,7.0,2.0,12.0,20.0
The Toronto-Dominion Bank,Financial Services,Banks - Diversified,CA,TD.TO,4.0,4.0,88.0,5.0,26.0,86.0,68.0,4.0,38.0,20.0,100.0,10.0,11.0,27.0,69.0,73.0,32.0
"The TJX Companies, Inc.",Consumer Cyclical,Apparel - Retail,US,TJX,72.0,72.0,43.0,78.0,27.0,86.0,35.0,67.0,31.0,60.0,46.0,76.0,29.0,67.0,41.0,62.0,34.0
Boston Scientific Corporation,Healthcare,Medical - Devices,US,BSX,77.0,77.0,59.0,92.0,24.0,68.0,49.0,77.0,40.0,66.0,34.0,98.0,12.0,78.0,82.0,16.0,66.0
Palantir Technologies Inc.,Technology,Software - Infrastructure,US,PLTR,92.0,92.0,88.0,47.0,33.0,84.0,70.0,92.0,31.0,92.0,15.0,4.0,40.0,,,,
Enbridge Inc.,Energy,Oil & Gas Midstream,CA,ENB.TO,62.0,62.0,42.0,34.0,56.0,62.0,36.0,63.0,68.0,46.0,53.0,33.0,82.0,69.0,61.0,84.0,28.0
Enbridge Inc,Energy,Oil & Gas Midstream,CA,ENB-PA.TO,62.0,62.0,42.0,34.0,56.0,62.0,36.0,63.0,68.0,46.0,53.0,33.0,82.0,69.0,61.0,84.0,28.0
Citigroup Inc.,Financial Services,Banks - Diversified,US,C,3.0,3.0,1.0,10.0,98.0,13.0,85.0,2.0,22.0,95.0,19.0,8.0,98.0,8.0,74.0,33.0,30.0
"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,US,PANW,57.0,57.0,88.0,38.0,50.0,21.0,92.0,69.0,73.0,75.0,46.0,52.0,64.0,72.0,86.0,95.0,29.0
ConocoPhillips,Energy,Oil & Gas Exploration & Production,US,COP,24.0,24.0,56.0,39.0,59.0,45.0,67.0,25.0,82.0,93.0,20.0,31.0,86.0,82.0,18.0,15.0,54.0
Lockheed Martin Corporation,Industrials,Aerospace & Defense,US,LMT,44.0,44.0,62.0,49.0,46.0,36.0,87.0,46.0,42.0,60.0,58.0,91.0,16.0,68.0,49.0,71.0,34.0
"Arista Networks, Inc.",Technology,Computer Hardware,US,ANET,94.0,94.0,57.0,74.0,60.0,33.0,74.0,94.0,24.0,72.0,31.0,88.0,26.0,96.0,22.0,84.0,95.0
"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,US,ADP,41.0,41.0,26.0,33.0,77.0,90.0,15.0,67.0,54.0,54.0,59.0,57.0,63.0,61.0,40.0,52.0,64.0
"Fiserv, Inc.",Technology,Information Technology Services,US,FI,53.0,53.0,73.0,67.0,37.0,51.0,78.0,54.0,64.0,48.0,76.0,87.0,52.0,51.0,54.0,50.0,72.0
Brookfield Corporation,Financial Services,Asset Management,CA,BN.TO,26.0,26.0,43.0,12.0,25.0,21.0,97.0,27.0,62.0,45.0,70.0,70.0,71.0,71.0,58.0,55.0,63.0
Deere & Company,Industrials,Agricultural - Machinery,US,DE,81.0,81.0,75.0,90.0,16.0,80.0,88.0,81.0,28.0,54.0,87.0,88.0,28.0,19.0,48.0,53.0,58.0
Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,US,BMY,48.0,48.0,84.0,31.0,44.0,41.0,87.0,49.0,39.0,62.0,82.0,77.0,59.0,86.0,81.0,19.0,37.0
Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,US,VRTX,32.0,32.0,84.0,3.0,96.0,16.0,53.0,34.0,80.0,38.0,86.0,71.0,80.0,95.0,93.0,70.0,2.0
"Micron Technology, Inc.",Technology,Semiconductors,US,MU,96.0,96.0,64.0,76.0,55.0,95.0,97.0,10.0,68.0,76.0,26.0,25.0,89.0,92.0,20.0,36.0,95.0
Starbucks Corporation,Consumer Cyclical,Restaurants,US,SBUX,44.0,44.0,37.0,87.0,25.0,61.0,54.0,68.0,35.0,93.0,17.0,15.0,93.0,34.0,67.0,97.0,13.0
"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,US,UPS,25.0,25.0,29.0,24.0,75.0,53.0,26.0,26.0,48.0,74.0,64.0,22.0,98.0,12.0,32.0,70.0,29.0
"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,US,GILD,34.0,34.0,89.0,24.0,63.0,62.0,29.0,35.0,39.0,73.0,39.0,59.0,22.0,23.0,29.0,80.0,96.0
"NIKE, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,US,NKE,62.0,62.0,15.0,56.0,48.0,99.0,11.0,54.0,38.0,90.0,20.0,68.0,74.0,64.0,22.0,79.0,46.0
"Marsh & McLennan Companies, Inc.",Financial Services,Insurance - Brokers,US,MMC,60.0,60.0,71.0,88.0,12.0,46.0,58.0,61.0,51.0,55.0,75.0,40.0,70.0,37.0,54.0,34.0,83.0
The Boeing Company,Industrials,Aerospace & Defense,US,BA,78.0,78.0,73.0,32.0,8.0,100.0,11.0,78.0,92.0,82.0,2.0,9.0,61.0,70.0,59.0,53.0,58.0
AppLovin Corporation,Technology,Software - Application,US,APP,89.0,89.0,58.0,49.0,68.0,78.0,34.0,89.0,64.0,79.0,59.0,79.0,40.0,,,,
"Analog Devices, Inc.",Technology,Semiconductors,US,ADI,34.0,34.0,59.0,44.0,47.0,44.0,47.0,51.0,82.0,72.0,39.0,36.0,90.0,31.0,77.0,51.0,42.0
"Prologis, Inc.",Real Estate,REIT - Industrial,US,PLD,64.0,64.0,63.0,42.0,61.0,24.0,74.0,65.0,75.0,54.0,69.0,72.0,53.0,65.0,78.0,74.0,80.0
Intel Corporation,Technology,Semiconductors,US,INTC,26.0,26.0,76.0,89.0,14.0,35.0,83.0,27.0,25.0,40.0,55.0,62.0,73.0,48.0,62.0,37.0,45.0
Canadian Natural Resources Limited,Energy,Oil & Gas Exploration & Production,CA,CNQ.TO,21.0,21.0,29.0,62.0,41.0,68.0,61.0,22.0,73.0,91.0,23.0,32.0,76.0,89.0,20.0,22.0,66.0
Thomson Reuters Corporation,Industrials,Specialty Business Services,CA,TRI.TO,60.0,60.0,50.0,68.0,42.0,51.0,41.0,61.0,60.0,54.0,90.0,13.0,49.0,21.0,53.0,65.0,62.0
Dell Technologies Inc.,Technology,Computer Hardware,US,DELL,88.0,88.0,5.0,56.0,45.0,31.0,25.0,13.0,46.0,65.0,71.0,52.0,93.0,54.0,31.0,43.0,
Constellation Software Inc.,Technology,Software - Application,CA,CSU.TO,67.0,67.0,19.0,62.0,61.0,93.0,14.0,68.0,53.0,58.0,78.0,65.0,68.0,55.0,68.0,61.0,82.0
Canadian Pacific Railway Limited,Industrials,Railroads,CA,CP.TO,42.0,42.0,42.0,55.0,50.0,65.0,55.0,44.0,62.0,70.0,42.0,60.0,68.0,52.0,31.0,61.0,59.0
Southern Company (The) Series 2,Utilities,Regulated Electric,US,SOJD,58.0,58.0,63.0,76.0,48.0,28.0,66.0,59.0,56.0,44.0,61.0,29.0,55.0,72.0,27.0,54.0,42.0
The Southern Company,Utilities,Regulated Electric,US,SO,58.0,58.0,63.0,76.0,48.0,28.0,66.0,59.0,56.0,44.0,61.0,29.0,55.0,72.0,27.0,54.0,42.0
The Sherwin-Williams Company,Basic Materials,Chemicals - Specialty,US,SHW,81.0,81.0,36.0,99.0,18.0,30.0,50.0,81.0,42.0,32.0,76.0,68.0,51.0,77.0,34.0,72.0,46.0
The Bank of Nova Scotia,Financial Services,Banks - Diversified,CA,BNS.TO,82.0,82.0,96.0,7.0,35.0,16.0,92.0,82.0,94.0,14.0,97.0,6.0,54.0,95.0,12.0,92.0,18.0
Bank of Montreal,Financial Services,Banks - Diversified,CA,BMO.TO,83.0,83.0,10.0,64.0,86.0,18.0,86.0,83.0,15.0,41.0,82.0,84.0,98.0,93.0,4.0,92.0,9.0
The Southern Company JR 2017B NT 77,Utilities,Regulated Electric,US,SOJC,58.0,58.0,63.0,76.0,48.0,28.0,66.0,59.0,56.0,44.0,61.0,29.0,55.0,72.0,27.0,54.0,42.0
Canadian National Railway Company,Industrials,Railroads,CA,CNR.TO,47.0,47.0,41.0,52.0,42.0,74.0,29.0,48.0,49.0,61.0,53.0,51.0,54.0,53.0,49.0,63.0,71.0
"Altria Group, Inc.",Consumer Defensive,Tobacco,US,MO,53.0,53.0,99.0,11.0,56.0,54.0,99.0,54.0,51.0,53.0,55.0,37.0,84.0,71.0,21.0,68.0,56.0
American Tower Corporation,Real Estate,REIT - Specialty,US,AMT,63.0,63.0,51.0,43.0,68.0,40.0,50.0,64.0,37.0,66.0,52.0,51.0,70.0,55.0,68.0,49.0,76.0
Lam Research Corporation,Technology,Semiconductors,US,LRCX,35.0,35.0,77.0,24.0,59.0,73.0,33.0,78.0,43.0,80.0,27.0,69.0,72.0,79.0,84.0,56.0,46.0
GE Vernova Inc.,Utilities,Renewable Utilities,US,GEV,98.0,98.0,54.0,90.0,14.0,97.0,89.0,98.0,86.0,49.0,,,,,,,
Elevance Health Inc.,Healthcare,Medical - Healthcare Plans,US,ELV,39.0,39.0,95.0,15.0,90.0,5.0,64.0,41.0,54.0,37.0,82.0,83.0,34.0,72.0,27.0,66.0,60.0
"Apollo Global Management, Inc.",Financial Services,Asset Management - Global,US,APO,78.0,78.0,80.0,51.0,37.0,95.0,10.0,78.0,94.0,89.0,5.0,76.0,49.0,72.0,53.0,95.0,8.0
Cigna Corporation,Healthcare,Medical - Healthcare Plans,US,CI,67.0,67.0,15.0,12.0,93.0,23.0,53.0,68.0,67.0,33.0,56.0,92.0,34.0,49.0,79.0,73.0,94.0
"Intercontinental Exchange, Inc.",Financial Services,Financial - Data & Stock Exchanges,US,ICE,42.0,42.0,29.0,51.0,64.0,63.0,25.0,43.0,63.0,57.0,56.0,55.0,66.0,39.0,83.0,32.0,90.0
Parker-Hannifin Corporation,Industrials,Industrial - Machinery,US,PH,54.0,54.0,25.0,67.0,68.0,53.0,22.0,60.0,49.0,66.0,64.0,58.0,67.0,58.0,34.0,37.0,65.0
Cintas Corporation,Industrials,Specialty Business Services,US,CTAS,64.0,64.0,27.0,43.0,82.0,58.0,23.0,47.0,63.0,56.0,64.0,61.0,69.0,83.0,28.0,39.0,60.0
"Equinix, Inc.",Real Estate,REIT - Specialty,US,EQIX,50.0,50.0,33.0,65.0,40.0,66.0,49.0,51.0,65.0,59.0,61.0,60.0,69.0,76.0,61.0,70.0,63.0
"Waste Management, Inc.",Industrials,Waste Management,US,WM,46.0,46.0,56.0,32.0,61.0,54.0,59.0,47.0,57.0,68.0,37.0,59.0,58.0,55.0,65.0,54.0,42.0
Duke Energy Corporation,Utilities,Regulated Electric,US,DUK,78.0,78.0,5.0,51.0,59.0,32.0,72.0,78.0,34.0,45.0,56.0,64.0,55.0,40.0,49.0,49.0,54.0
Amphenol Corporation,Technology,"Hardware, Equipment & Parts",US,APH,56.0,56.0,49.0,47.0,47.0,67.0,55.0,57.0,76.0,47.0,54.0,76.0,38.0,53.0,52.0,62.0,64.0
Duke Energy Corporation 5.625% ,Utilities,Regulated Electric,US,DUKB,78.0,78.0,5.0,51.0,59.0,32.0,72.0,78.0,34.0,45.0,56.0,64.0,55.0,40.0,49.0,49.0,54.0
"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,US,CRWD,60.0,60.0,43.0,32.0,67.0,64.0,52.0,77.0,81.0,93.0,97.0,84.0,31.0,42.0,,,
"Mondelez International, Inc.",Consumer Defensive,Food Confectioners,US,MDLZ,58.0,58.0,71.0,24.0,54.0,66.0,66.0,59.0,48.0,55.0,47.0,51.0,80.0,34.0,26.0,52.0,20.0
Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,US,MCO,71.0,71.0,47.0,34.0,81.0,50.0,29.0,71.0,35.0,45.0,68.0,64.0,87.0,19.0,54.0,59.0,60.0
Welltower Inc.,Real Estate,REIT - Healthcare Facilities,US,WELL,58.0,58.0,54.0,64.0,59.0,45.0,48.0,59.0,57.0,45.0,38.0,40.0,57.0,32.0,65.0,65.0,64.0
"Synopsys, Inc.",Technology,Software - Infrastructure,US,SNPS,40.0,40.0,40.0,95.0,14.0,25.0,31.0,42.0,65.0,76.0,66.0,88.0,21.0,55.0,65.0,34.0,61.0
