Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
"T-Mobile US, Inc.",Communication Services,Telecommunications Services,US,TMUS,59.0,60.0,51.0,68.0,71.0,62.0,65.0,60.0,45.0,25.0,29.0,35.0,28.0,12.0,20.0,25.0,14.0
"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,US,MRK,70.0,56.0,76.0,67.0,62.0,39.0,74.0,56.0,68.0,68.0,54.0,65.0,61.0,55.0,68.0,79.0,58.0
Wells Fargo & Company,Financial Services,Banks - Diversified,US,WFC,85.0,95.0,71.0,95.0,18.0,95.0,95.0,95.0,90.0,24.0,49.0,57.0,90.0,46.0,14.0,10.0,8.0
Royal Bank of Canada,Financial Services,Banks - Diversified,CA,RY.TO,47.0,90.0,75.0,77.0,85.0,14.0,85.0,90.0,82.0,97.0,99.0,80.0,86.0,97.0,95.0,95.0,92.0
"Cisco Systems, Inc.",Technology,Communication Equipment,US,CSCO,66.0,65.0,63.0,71.0,78.0,47.0,57.0,78.0,74.0,74.0,73.0,72.0,71.0,84.0,80.0,78.0,84.0
"Advanced Micro Devices, Inc.",Technology,Semiconductors,US,AMD,43.0,44.0,43.0,46.0,53.0,45.0,45.0,45.0,60.0,52.0,45.0,46.0,36.0,36.0,38.0,14.0,18.0
Adobe Inc.,Technology,Software - Infrastructure,US,ADBE,55.0,52.0,52.0,59.0,58.0,51.0,52.0,52.0,66.0,55.0,52.0,55.0,54.0,54.0,57.0,50.0,55.0
"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,US,PEP,54.0,56.0,63.0,52.0,41.0,60.0,67.0,57.0,56.0,59.0,56.0,55.0,59.0,61.0,63.0,66.0,69.0
Morgan Stanley,Financial Services,Financial - Capital Markets,US,MS,21.0,16.0,16.0,18.0,93.0,10.0,70.0,16.0,31.0,93.0,7.0,98.0,78.0,19.0,43.0,56.0,42.0
"ServiceNow, Inc.",Technology,Software - Application,US,NOW,47.0,49.0,44.0,47.0,64.0,56.0,45.0,50.0,58.0,51.0,47.0,50.0,48.0,49.0,38.0,45.0,44.0
The Walt Disney Company,Communication Services,Entertainment,US,DIS,65.0,64.0,78.0,54.0,69.0,51.0,72.0,56.0,50.0,47.0,49.0,47.0,68.0,71.0,68.0,56.0,62.0
McDonald's Corporation,Consumer Cyclical,Restaurants,US,MCD,56.0,56.0,53.0,53.0,66.0,54.0,59.0,57.0,59.0,62.0,55.0,61.0,54.0,52.0,57.0,59.0,64.0
American Express Company,Financial Services,Financial - Credit Services,US,AXP,71.0,86.0,31.0,77.0,86.0,86.0,92.0,86.0,90.0,83.0,60.0,89.0,82.0,93.0,85.0,91.0,88.0
International Business Machines Corporation,Technology,Information Technology Services,US,IBM,72.0,76.0,66.0,60.0,80.0,76.0,70.0,76.0,74.0,80.0,87.0,88.0,86.0,88.0,81.0,86.0,85.0
Philip Morris International Inc.,Consumer Defensive,Tobacco,US,PM,66.0,66.0,63.0,80.0,48.0,71.0,70.0,66.0,72.0,77.0,71.0,77.0,77.0,64.0,62.0,64.0,69.0
Abbott Laboratories,Healthcare,Medical - Devices,US,ABT,56.0,53.0,56.0,56.0,56.0,60.0,53.0,53.0,64.0,61.0,55.0,56.0,58.0,64.0,54.0,50.0,60.0
Thermo Fisher Scientific Inc.,Healthcare,Medical - Diagnostics & Research,US,TMO,61.0,56.0,52.0,56.0,57.0,65.0,57.0,57.0,60.0,57.0,58.0,57.0,60.0,65.0,63.0,58.0,64.0
"Intuitive Surgical, Inc.",Healthcare,Medical - Instruments & Supplies,US,ISRG,41.0,45.0,44.0,46.0,48.0,40.0,47.0,45.0,51.0,50.0,47.0,50.0,48.0,50.0,57.0,53.0,54.0
General Electric Company,Industrials,Aerospace & Defense,US,GE,53.0,56.0,49.0,50.0,57.0,73.0,62.0,56.0,77.0,59.0,44.0,64.0,18.0,53.0,22.0,73.0,86.0
Shopify Inc.,Technology,Software - Application,CA,SHOP.TO,45.0,46.0,40.0,49.0,54.0,49.0,48.0,46.0,44.0,46.0,43.0,42.0,38.0,37.0,34.0,35.0,35.0
Intuit Inc.,Technology,Software - Application,US,INTU,55.0,52.0,44.0,46.0,81.0,47.0,41.0,57.0,59.0,55.0,54.0,57.0,58.0,60.0,51.0,58.0,70.0
Caterpillar Inc.,Industrials,Agricultural - Machinery,US,CAT,66.0,70.0,62.0,66.0,63.0,71.0,72.0,70.0,64.0,65.0,61.0,68.0,64.0,58.0,63.0,81.0,84.0
"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,US,GS,24.0,23.0,7.0,97.0,73.0,46.0,5.0,23.0,64.0,31.0,8.0,94.0,94.0,9.0,49.0,71.0,18.0
Texas Instruments Incorporated,Technology,Semiconductors,US,TXN,43.0,46.0,44.0,47.0,48.0,50.0,47.0,46.0,63.0,62.0,58.0,67.0,72.0,64.0,68.0,73.0,75.0
Verizon Communications Inc.,Communication Services,Telecommunications Services,US,VZ,83.0,85.0,77.0,83.0,72.0,75.0,86.0,85.0,72.0,80.0,77.0,76.0,74.0,54.0,45.0,70.0,79.0
QUALCOMM Incorporated,Technology,Semiconductors,US,QCOM,72.0,40.0,59.0,62.0,77.0,66.0,77.0,76.0,68.0,72.0,57.0,77.0,53.0,69.0,78.0,66.0,74.0
Booking Holdings Inc.,Consumer Cyclical,Travel Services,US,BKNG,66.0,66.0,64.0,71.0,80.0,57.0,58.0,67.0,76.0,57.0,39.0,68.0,70.0,68.0,64.0,60.0,65.0
Danaher Corporation,Healthcare,Medical - Diagnostics & Research,US,DHR,55.0,56.0,49.0,53.0,64.0,53.0,53.0,57.0,65.0,61.0,59.0,59.0,67.0,68.0,71.0,77.0,84.0
Comcast Corporation,Communication Services,Telecommunications Services,US,CMCSA,78.0,72.0,79.0,58.0,84.0,57.0,71.0,73.0,77.0,77.0,66.0,75.0,78.0,70.0,64.0,72.0,75.0
AT&T Inc.,Communication Services,Telecommunications Services,US,T,88.0,92.0,77.0,85.0,86.0,89.0,88.0,92.0,80.0,94.0,90.0,91.0,92.0,88.0,83.0,88.0,81.0
AT&T Inc. 5.35% GLB NTS 66,Communication Services,Telecommunications Services,US,TBB,88.0,86.0,75.0,80.0,81.0,84.0,81.0,86.0,76.0,89.0,86.0,92.0,92.0,90.0,88.0,87.0,77.0
AT&T Inc. 5.625% Global Notes d,Communication Services,Telecommunications Services,US,TBC,88.0,84.0,75.0,80.0,80.0,83.0,79.0,85.0,74.0,89.0,86.0,92.0,40.0,90.0,87.0,88.0,39.0
RTX Corporation,Industrials,Aerospace & Defense,US,RTX,64.0,59.0,57.0,67.0,47.0,80.0,73.0,60.0,59.0,63.0,49.0,81.0,78.0,70.0,53.0,81.0,84.0
"BlackRock, Inc.",Financial Services,Asset Management,US,BLK,55.0,55.0,40.0,64.0,46.0,64.0,63.0,56.0,64.0,60.0,56.0,58.0,62.0,63.0,52.0,63.0,67.0
"NextEra Energy, Inc.",Utilities,Regulated Electric,US,NEE,58.0,48.0,59.0,63.0,59.0,52.0,54.0,48.0,42.0,42.0,42.0,29.0,44.0,45.0,55.0,62.0,63.0
S&P Global Inc.,Financial Services,Financial - Data & Stock Exchanges,US,SPGI,57.0,52.0,53.0,61.0,62.0,56.0,54.0,53.0,56.0,60.0,61.0,62.0,62.0,63.0,62.0,39.0,65.0
Amgen Inc.,Healthcare,Drug Manufacturers - General,US,AMGN,61.0,63.0,67.0,64.0,56.0,46.0,66.0,64.0,72.0,75.0,72.0,72.0,78.0,84.0,82.0,74.0,75.0
The Progressive Corporation,Financial Services,Insurance - Property & Casualty,US,PGR,85.0,84.0,83.0,79.0,88.0,75.0,83.0,84.0,78.0,87.0,83.0,91.0,93.0,90.0,89.0,88.0,88.0
"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement,US,LOW,66.0,63.0,47.0,73.0,85.0,48.0,49.0,64.0,67.0,77.0,56.0,74.0,63.0,78.0,66.0,70.0,76.0
Stryker Corporation,Healthcare,Medical - Devices,US,SYK,51.0,53.0,54.0,49.0,52.0,60.0,54.0,54.0,56.0,58.0,55.0,52.0,56.0,47.0,50.0,46.0,63.0
Honeywell International Inc.,Industrials,Conglomerates,US,HON,60.0,55.0,59.0,57.0,54.0,69.0,59.0,55.0,60.0,62.0,58.0,66.0,69.0,63.0,65.0,68.0,69.0
"Uber Technologies, Inc.",Technology,Software - Application,US,UBER,60.0,53.0,59.0,62.0,66.0,52.0,55.0,53.0,51.0,38.0,25.0,15.0,25.0,22.0,18.0,,
Union Pacific Corporation,Industrials,Railroads,US,UNP,59.0,55.0,58.0,55.0,66.0,56.0,55.0,56.0,65.0,63.0,59.0,62.0,65.0,59.0,61.0,57.0,54.0
"Applied Materials, Inc.",Technology,Semiconductors,US,AMAT,64.0,42.0,52.0,63.0,62.0,63.0,58.0,72.0,71.0,63.0,68.0,69.0,83.0,70.0,75.0,62.0,74.0
The Charles Schwab Corporation,Financial Services,Financial - Capital Markets,US,SCHW,93.0,33.0,96.0,24.0,34.0,95.0,18.0,33.0,50.0,48.0,75.0,91.0,95.0,45.0,60.0,48.0,67.0
Pfizer Inc.,Healthcare,Drug Manufacturers - General,US,PFE,69.0,54.0,80.0,31.0,55.0,75.0,61.0,54.0,79.0,81.0,67.0,67.0,68.0,78.0,78.0,74.0,84.0
Blackstone Inc.,Financial Services,Asset Management,US,BX,48.0,59.0,72.0,50.0,52.0,55.0,59.0,60.0,83.0,65.0,60.0,67.0,41.0,14.0,25.0,90.0,83.0
KKR & Co. Inc.,Financial Services,Asset Management,US,KKR,70.0,36.0,57.0,80.0,83.0,77.0,81.0,36.0,21.0,12.0,7.0,6.0,4.0,5.0,8.0,46.0,94.0
The Toronto-Dominion Bank,Financial Services,Banks - Diversified,CA,TD.TO,87.0,10.0,75.0,23.0,80.0,95.0,6.0,10.0,95.0,97.0,100.0,38.0,58.0,97.0,98.0,98.0,97.0
"The TJX Companies, Inc.",Consumer Cyclical,Apparel - Retail,US,TJX,56.0,59.0,40.0,57.0,55.0,72.0,52.0,54.0,56.0,69.0,59.0,67.0,59.0,70.0,59.0,61.0,62.0
Boston Scientific Corporation,Healthcare,Medical - Devices,US,BSX,1.0,50.0,1.0,52.0,49.0,54.0,51.0,51.0,52.0,55.0,52.0,52.0,39.0,56.0,46.0,45.0,72.0
Palantir Technologies Inc.,Technology,Software - Infrastructure,US,PLTR,43.0,49.0,47.0,47.0,55.0,54.0,48.0,50.0,53.0,48.0,35.0,34.0,35.0,,,,
Enbridge Inc.,Energy,Oil & Gas Midstream,CA,ENB.TO,70.0,80.0,59.0,67.0,80.0,73.0,68.0,80.0,71.0,49.0,64.0,59.0,60.0,26.0,35.0,21.0,13.0
Enbridge Inc,Energy,Oil & Gas Midstream,CA,ENB-PA.TO,70.0,80.0,59.0,67.0,80.0,73.0,68.0,80.0,71.0,49.0,64.0,59.0,60.0,26.0,35.0,21.0,13.0
Citigroup Inc.,Financial Services,Banks - Diversified,US,C,23.0,7.0,9.0,27.0,95.0,34.0,98.0,7.0,94.0,98.0,9.0,17.0,96.0,20.0,97.0,96.0,98.0
"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,US,PANW,52.0,54.0,59.0,49.0,59.0,52.0,68.0,57.0,62.0,62.0,57.0,63.0,65.0,73.0,65.0,47.0,44.0
ConocoPhillips,Energy,Oil & Gas Exploration & Production,US,COP,91.0,69.0,93.0,66.0,73.0,67.0,69.0,69.0,84.0,87.0,43.0,73.0,79.0,59.0,32.0,25.0,37.0
Lockheed Martin Corporation,Industrials,Aerospace & Defense,US,LMT,68.0,66.0,62.0,65.0,70.0,63.0,73.0,67.0,66.0,78.0,69.0,69.0,51.0,72.0,67.0,71.0,67.0
"Arista Networks, Inc.",Technology,Computer Hardware,US,ANET,52.0,53.0,54.0,58.0,60.0,53.0,58.0,54.0,52.0,55.0,56.0,73.0,53.0,58.0,44.0,54.0,57.0
"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,US,ADP,58.0,58.0,50.0,63.0,72.0,56.0,46.0,60.0,59.0,59.0,58.0,56.0,56.0,58.0,53.0,58.0,64.0
"Fiserv, Inc.",Technology,Information Technology Services,US,FI,59.0,63.0,66.0,62.0,58.0,65.0,66.0,64.0,67.0,65.0,61.0,59.0,59.0,63.0,63.0,62.0,73.0
Brookfield Corporation,Financial Services,Asset Management,CA,BN.TO,29.0,35.0,40.0,26.0,22.0,28.0,74.0,36.0,60.0,50.0,76.0,78.0,85.0,79.0,72.0,72.0,73.0
Deere & Company,Industrials,Agricultural - Machinery,US,DE,61.0,59.0,69.0,51.0,35.0,83.0,64.0,59.0,50.0,67.0,70.0,40.0,30.0,33.0,50.0,54.0,53.0
Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,US,BMY,87.0,85.0,86.0,78.0,82.0,83.0,81.0,85.0,76.0,85.0,79.0,75.0,69.0,62.0,44.0,42.0,53.0
Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,US,VRTX,37.0,55.0,58.0,24.0,67.0,45.0,60.0,56.0,69.0,65.0,64.0,55.0,52.0,46.0,41.0,32.0,30.0
"Micron Technology, Inc.",Technology,Semiconductors,US,MU,41.0,43.0,44.0,47.0,47.0,37.0,30.0,27.0,67.0,59.0,43.0,76.0,88.0,84.0,11.0,73.0,85.0
Starbucks Corporation,Consumer Cyclical,Restaurants,US,SBUX,61.0,54.0,66.0,61.0,48.0,66.0,58.0,58.0,58.0,61.0,42.0,56.0,89.0,57.0,57.0,51.0,34.0
"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,US,UPS,60.0,58.0,48.0,58.0,77.0,47.0,52.0,59.0,72.0,72.0,57.0,53.0,76.0,25.0,53.0,69.0,57.0
"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,US,GILD,80.0,73.0,83.0,65.0,81.0,69.0,66.0,73.0,76.0,86.0,81.0,86.0,81.0,91.0,93.0,90.0,85.0
"NIKE, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,US,NKE,71.0,62.0,44.0,69.0,71.0,64.0,40.0,55.0,56.0,58.0,46.0,62.0,56.0,53.0,46.0,58.0,55.0
"Marsh & McLennan Companies, Inc.",Financial Services,Insurance - Brokers,US,MMC,57.0,60.0,64.0,61.0,40.0,67.0,66.0,61.0,62.0,62.0,65.0,59.0,66.0,60.0,63.0,66.0,71.0
The Boeing Company,Industrials,Aerospace & Defense,US,BA,27.0,53.0,27.0,22.0,25.0,70.0,39.0,54.0,55.0,29.0,10.0,29.0,75.0,76.0,80.0,74.0,79.0
AppLovin Corporation,Technology,Software - Application,US,APP,48.0,74.0,59.0,67.0,76.0,75.0,62.0,74.0,82.0,49.0,46.0,47.0,45.0,,,,
"Analog Devices, Inc.",Technology,Semiconductors,US,ADI,53.0,42.0,50.0,53.0,67.0,55.0,53.0,62.0,67.0,61.0,60.0,67.0,73.0,53.0,70.0,57.0,64.0
"Prologis, Inc.",Real Estate,REIT - Industrial,US,PLD,60.0,61.0,58.0,57.0,64.0,52.0,65.0,61.0,63.0,53.0,52.0,58.0,52.0,65.0,62.0,56.0,54.0
Intel Corporation,Technology,Semiconductors,US,INTC,20.0,28.0,26.0,26.0,23.0,33.0,44.0,29.0,28.0,66.0,81.0,74.0,72.0,66.0,77.0,74.0,71.0
Canadian Natural Resources Limited,Energy,Oil & Gas Exploration & Production,CA,CNQ.TO,83.0,75.0,65.0,77.0,75.0,84.0,73.0,75.0,90.0,91.0,68.0,87.0,91.0,68.0,32.0,51.0,24.0
Thomson Reuters Corporation,Industrials,Specialty Business Services,CA,TRI.TO,54.0,53.0,51.0,55.0,57.0,55.0,55.0,53.0,56.0,55.0,55.0,46.0,62.0,57.0,73.0,71.0,63.0
Dell Technologies Inc.,Technology,Computer Hardware,US,DELL,57.0,80.0,54.0,51.0,72.0,78.0,91.0,50.0,91.0,97.0,96.0,96.0,98.0,91.0,94.0,95.0,
Constellation Software Inc.,Technology,Software - Application,CA,CSU.TO,55.0,56.0,46.0,63.0,67.0,59.0,46.0,56.0,63.0,60.0,60.0,60.0,63.0,60.0,63.0,59.0,69.0
Canadian Pacific Railway Limited,Industrials,Railroads,CA,CP.TO,50.0,49.0,47.0,50.0,58.0,52.0,47.0,49.0,58.0,62.0,50.0,56.0,56.0,51.0,52.0,53.0,48.0
Southern Company (The) Series 2,Utilities,Regulated Electric,US,SOJD,75.0,36.0,60.0,51.0,41.0,33.0,46.0,36.0,39.0,35.0,33.0,28.0,31.0,29.0,21.0,28.0,37.0
The Southern Company,Utilities,Regulated Electric,US,SO,42.0,36.0,91.0,51.0,41.0,33.0,46.0,36.0,39.0,35.0,33.0,28.0,31.0,29.0,21.0,28.0,37.0
The Sherwin-Williams Company,Basic Materials,Chemicals - Specialty,US,SHW,50.0,56.0,53.0,64.0,44.0,54.0,66.0,56.0,55.0,54.0,63.0,61.0,62.0,63.0,59.0,64.0,57.0
The Bank of Nova Scotia,Financial Services,Banks - Diversified,CA,BNS.TO,89.0,98.0,92.0,30.0,85.0,91.0,99.0,98.0,93.0,15.0,99.0,15.0,94.0,51.0,59.0,94.0,71.0
Bank of Montreal,Financial Services,Banks - Diversified,CA,BMO.TO,93.0,82.0,20.0,97.0,95.0,84.0,96.0,83.0,64.0,99.0,99.0,98.0,97.0,55.0,20.0,55.0,21.0
The Southern Company JR 2017B NT 77,Utilities,Regulated Electric,US,SOJC,42.0,36.0,60.0,51.0,41.0,33.0,46.0,36.0,39.0,35.0,33.0,28.0,31.0,29.0,21.0,28.0,37.0
Canadian National Railway Company,Industrials,Railroads,CA,CNR.TO,60.0,57.0,49.0,59.0,61.0,62.0,51.0,57.0,62.0,63.0,57.0,53.0,55.0,58.0,54.0,56.0,55.0
"Altria Group, Inc.",Consumer Defensive,Tobacco,US,MO,80.0,87.0,74.0,41.0,89.0,85.0,82.0,87.0,80.0,81.0,81.0,81.0,80.0,57.0,49.0,63.0,65.0
American Tower Corporation,Real Estate,REIT - Specialty,US,AMT,59.0,54.0,54.0,62.0,68.0,52.0,58.0,54.0,54.0,57.0,54.0,55.0,59.0,57.0,60.0,54.0,54.0
Lam Research Corporation,Technology,Semiconductors,US,LRCX,67.0,55.0,60.0,52.0,68.0,61.0,57.0,67.0,64.0,62.0,61.0,86.0,76.0,82.0,84.0,60.0,69.0
GE Vernova Inc.,Utilities,Renewable Utilities,US,GEV,56.0,47.0,60.0,71.0,33.0,86.0,45.0,48.0,40.0,23.0,,,,,,,
Elevance Health Inc.,Healthcare,Medical - Healthcare Plans,US,ELV,44.0,69.0,68.0,45.0,73.0,24.0,71.0,69.0,70.0,74.0,84.0,75.0,58.0,73.0,76.0,84.0,84.0
"Apollo Global Management, Inc.",Financial Services,Asset Management - Global,US,APO,37.0,85.0,72.0,63.0,69.0,14.0,7.0,85.0,80.0,72.0,10.0,87.0,92.0,92.0,94.0,95.0,17.0
Cigna Corporation,Healthcare,Medical - Healthcare Plans,US,CI,69.0,84.0,36.0,42.0,91.0,60.0,76.0,85.0,75.0,78.0,84.0,88.0,74.0,80.0,86.0,69.0,71.0
"Intercontinental Exchange, Inc.",Financial Services,Financial - Data & Stock Exchanges,US,ICE,60.0,61.0,53.0,64.0,69.0,58.0,56.0,61.0,69.0,62.0,59.0,65.0,66.0,62.0,66.0,55.0,68.0
Parker-Hannifin Corporation,Industrials,Industrial - Machinery,US,PH,58.0,62.0,52.0,70.0,68.0,57.0,57.0,65.0,74.0,73.0,74.0,77.0,72.0,68.0,76.0,72.0,75.0
Cintas Corporation,Industrials,Specialty Business Services,US,CTAS,50.0,52.0,47.0,58.0,66.0,50.0,49.0,53.0,60.0,60.0,60.0,58.0,57.0,59.0,45.0,55.0,74.0
"Equinix, Inc.",Real Estate,REIT - Specialty,US,EQIX,52.0,45.0,73.0,49.0,48.0,44.0,46.0,45.0,52.0,41.0,42.0,39.0,34.0,41.0,33.0,39.0,42.0
"Waste Management, Inc.",Industrials,Waste Management,US,WM,51.0,52.0,51.0,52.0,65.0,50.0,55.0,53.0,59.0,61.0,58.0,63.0,64.0,63.0,65.0,65.0,67.0
Duke Energy Corporation,Utilities,Regulated Electric,US,DUK,37.0,33.0,49.0,42.0,39.0,33.0,52.0,34.0,30.0,34.0,31.0,25.0,27.0,28.0,27.0,36.0,50.0
Amphenol Corporation,Technology,"Hardware, Equipment & Parts",US,APH,53.0,58.0,49.0,53.0,63.0,60.0,57.0,58.0,63.0,55.0,57.0,61.0,55.0,57.0,58.0,66.0,61.0
Duke Energy Corporation 5.625% ,Utilities,Regulated Electric,US,DUKB,37.0,33.0,49.0,42.0,39.0,33.0,52.0,34.0,30.0,34.0,31.0,25.0,27.0,28.0,27.0,36.0,50.0
"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,US,CRWD,46.0,47.0,47.0,50.0,57.0,51.0,49.0,53.0,51.0,47.0,42.0,36.0,35.0,35.0,,,
"Mondelez International, Inc.",Consumer Defensive,Food Confectioners,US,MDLZ,63.0,58.0,55.0,51.0,69.0,60.0,55.0,58.0,61.0,61.0,58.0,61.0,64.0,50.0,47.0,52.0,55.0
Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,US,MCO,53.0,53.0,51.0,56.0,67.0,51.0,51.0,53.0,56.0,57.0,58.0,60.0,65.0,50.0,71.0,66.0,66.0
Welltower Inc.,Real Estate,REIT - Healthcare Facilities,US,WELL,49.0,56.0,53.0,54.0,59.0,50.0,56.0,57.0,65.0,61.0,64.0,65.0,70.0,74.0,75.0,68.0,67.0
"Synopsys, Inc.",Technology,Software - Infrastructure,US,SNPS,45.0,50.0,47.0,52.0,48.0,48.0,52.0,51.0,62.0,58.0,53.0,56.0,51.0,63.0,69.0,65.0,79.0
