Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
"Salesforce, Inc.",Technology,Software - Application,US,CRM,80.0,83.0,63.0,37.0,92.0,82.0,57.0,99.0,93.0,60.0,99.0,89.0,96.0,95.0,1.0,4.0,5.0
AbbVie Inc.,Healthcare,Drug Manufacturers - General,US,ABBV,88.0,93.0,88.0,70.0,86.0,92.0,90.0,93.0,84.0,80.0,91.0,72.0,82.0,74.0,51.0,63.0,74.0
Chevron Corporation,Energy,Oil & Gas Integrated,US,CVX,78.0,71.0,76.0,64.0,64.0,92.0,63.0,71.0,70.0,78.0,9.0,97.0,79.0,80.0,1.0,92.0,66.0
The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,US,KO,35.0,55.0,18.0,66.0,29.0,63.0,61.0,54.0,62.0,64.0,62.0,57.0,55.0,94.0,57.0,62.0,62.0
"T-Mobile US, Inc.",Communication Services,Telecommunications Services,US,TMUS,78.0,80.0,74.0,74.0,80.0,79.0,79.0,81.0,96.0,94.0,86.0,77.0,62.0,39.0,92.0,96.0,99.0
"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,US,MRK,67.0,99.0,84.0,54.0,42.0,21.0,67.0,99.0,67.0,57.0,67.0,64.0,73.0,83.0,71.0,86.0,31.0
Wells Fargo & Company,Financial Services,Banks - Diversified,US,WFC,67.0,79.0,48.0,88.0,8.0,91.0,82.0,79.0,82.0,12.0,60.0,26.0,70.0,39.0,20.0,33.0,34.0
Royal Bank of Canada,Financial Services,Banks - Diversified,CA,RY.TO,78.0,20.0,25.0,71.0,67.0,64.0,7.0,73.0,70.0,92.0,97.0,55.0,64.0,88.0,83.0,82.0,68.0
"Cisco Systems, Inc.",Technology,Communication Equipment,US,CSCO,61.0,54.0,62.0,71.0,80.0,33.0,38.0,69.0,60.0,69.0,65.0,63.0,100.0,62.0,54.0,60.0,64.0
"Advanced Micro Devices, Inc.",Technology,Semiconductors,US,AMD,57.0,77.0,47.0,79.0,91.0,40.0,62.0,77.0,89.0,58.0,35.0,66.0,20.0,7.0,17.0,27.0,23.0
Adobe Inc.,Technology,Software - Infrastructure,US,ADBE,60.0,63.0,58.0,60.0,77.0,57.0,60.0,63.0,77.0,71.0,58.0,67.0,69.0,70.0,72.0,81.0,94.0
"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,US,PEP,61.0,67.0,69.0,43.0,18.0,89.0,70.0,67.0,64.0,72.0,68.0,62.0,36.0,77.0,66.0,74.0,65.0
Morgan Stanley,Financial Services,Financial - Capital Markets,US,MS,6.0,5.0,7.0,7.0,85.0,2.0,65.0,5.0,11.0,84.0,8.0,93.0,40.0,11.0,27.0,32.0,24.0
"ServiceNow, Inc.",Technology,Software - Application,US,NOW,87.0,77.0,66.0,80.0,90.0,92.0,59.0,77.0,97.0,97.0,98.0,77.0,1.0,4.0,15.0,9.0,12.0
The Walt Disney Company,Communication Services,Entertainment,US,DIS,85.0,86.0,97.0,53.0,0.0,59.0,98.0,92.0,81.0,88.0,7.0,34.0,53.0,60.0,59.0,57.0,55.0
McDonald's Corporation,Consumer Cyclical,Restaurants,US,MCD,56.0,56.0,58.0,47.0,64.0,60.0,59.0,56.0,63.0,62.0,64.0,63.0,54.0,49.0,55.0,62.0,59.0
American Express Company,Financial Services,Financial - Credit Services,US,AXP,67.0,80.0,15.0,66.0,82.0,86.0,86.0,81.0,89.0,78.0,74.0,78.0,59.0,94.0,63.0,77.0,72.0
International Business Machines Corporation,Technology,Information Technology Services,US,IBM,78.0,75.0,3.0,57.0,85.0,63.0,69.0,75.0,96.0,83.0,89.0,69.0,73.0,86.0,58.0,56.0,59.0
Philip Morris International Inc.,Consumer Defensive,Tobacco,US,PM,57.0,58.0,55.0,74.0,28.0,66.0,67.0,58.0,63.0,65.0,62.0,65.0,55.0,63.0,50.0,51.0,45.0
Abbott Laboratories,Healthcare,Medical - Devices,US,ABT,67.0,61.0,68.0,66.0,49.0,73.0,59.0,61.0,70.0,70.0,74.0,71.0,85.0,98.0,79.0,34.0,65.0
Thermo Fisher Scientific Inc.,Healthcare,Medical - Diagnostics & Research,US,TMO,67.0,65.0,61.0,61.0,54.0,78.0,62.0,65.0,68.0,63.0,63.0,63.0,68.0,72.0,64.0,61.0,58.0
"Intuitive Surgical, Inc.",Healthcare,Medical - Instruments & Supplies,US,ISRG,40.0,52.0,59.0,59.0,27.0,35.0,60.0,52.0,61.0,62.0,66.0,56.0,49.0,71.0,59.0,57.0,65.0
General Electric Company,Industrials,Aerospace & Defense,US,GE,53.0,33.0,47.0,42.0,42.0,74.0,93.0,32.0,99.0,12.0,41.0,8.0,16.0,7.0,18.0,6.0,71.0
Shopify Inc.,Technology,Software - Application,CA,SHOP.TO,54.0,96.0,,76.0,14.0,44.0,32.0,96.0,19.0,22.0,64.0,13.0,16.0,15.0,15.0,12.0,19.0
Intuit Inc.,Technology,Software - Application,US,INTU,74.0,71.0,71.0,1.0,74.0,70.0,16.0,79.0,81.0,73.0,64.0,67.0,73.0,68.0,60.0,91.0,66.0
Caterpillar Inc.,Industrials,Agricultural - Machinery,US,CAT,57.0,60.0,64.0,57.0,45.0,66.0,63.0,60.0,62.0,58.0,79.0,56.0,50.0,96.0,0.0,84.0,78.0
"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,US,GS,10.0,9.0,2.0,94.0,40.0,35.0,2.0,9.0,42.0,19.0,11.0,87.0,77.0,4.0,36.0,51.0,11.0
Texas Instruments Incorporated,Technology,Semiconductors,US,TXN,60.0,51.0,60.0,64.0,53.0,64.0,55.0,51.0,55.0,59.0,59.0,62.0,59.0,63.0,55.0,62.0,58.0
Verizon Communications Inc.,Communication Services,Telecommunications Services,US,VZ,89.0,88.0,84.0,76.0,72.0,7.0,77.0,88.0,79.0,77.0,82.0,76.0,80.0,38.0,66.0,78.0,88.0
QUALCOMM Incorporated,Technology,Semiconductors,US,QCOM,58.0,59.0,51.0,65.0,72.0,57.0,82.0,69.0,38.0,60.0,59.0,71.0,11.0,74.0,55.0,47.0,48.0
Booking Holdings Inc.,Consumer Cyclical,Travel Services,US,BKNG,73.0,72.0,52.0,70.0,89.0,93.0,35.0,72.0,84.0,85.0,67.0,50.0,61.0,76.0,71.0,54.0,51.0
Danaher Corporation,Healthcare,Medical - Diagnostics & Research,US,DHR,69.0,68.0,71.0,68.0,73.0,66.0,63.0,68.0,63.0,65.0,73.0,62.0,68.0,60.0,58.0,50.0,60.0
Comcast Corporation,Communication Services,Telecommunications Services,US,CMCSA,72.0,75.0,73.0,59.0,79.0,72.0,73.0,75.0,95.0,81.0,82.0,77.0,79.0,44.0,78.0,80.0,75.0
AT&T Inc.,Communication Services,Telecommunications Services,US,T,91.0,85.0,1.0,81.0,81.0,91.0,84.0,85.0,4.0,82.0,3.0,90.0,81.0,57.0,87.0,85.0,94.0
AT&T Inc. 5.35% GLB NTS 66,Communication Services,Telecommunications Services,US,TBB,91.0,85.0,1.0,81.0,81.0,91.0,84.0,85.0,4.0,82.0,2.0,90.0,81.0,57.0,87.0,85.0,94.0
AT&T Inc. 5.625% Global Notes d,Communication Services,Telecommunications Services,US,TBC,92.0,85.0,1.0,82.0,81.0,91.0,84.0,86.0,4.0,82.0,3.0,90.0,,,,,
RTX Corporation,Industrials,Aerospace & Defense,US,RTX,79.0,83.0,69.0,99.0,30.0,85.0,6.0,84.0,70.0,78.0,12.0,70.0,55.0,55.0,36.0,39.0,50.0
"BlackRock, Inc.",Financial Services,Asset Management,US,BLK,41.0,40.0,49.0,50.0,22.0,65.0,50.0,40.0,53.0,45.0,46.0,34.0,35.0,36.0,33.0,42.0,42.0
"NextEra Energy, Inc.",Utilities,Regulated Electric,US,NEE,77.0,69.0,78.0,80.0,68.0,79.0,84.0,69.0,88.0,88.0,85.0,80.0,47.0,53.0,77.0,79.0,78.0
S&P Global Inc.,Financial Services,Financial - Data & Stock Exchanges,US,SPGI,67.0,65.0,65.0,67.0,54.0,78.0,61.0,65.0,44.0,61.0,69.0,62.0,50.0,59.0,34.0,24.0,2.0
Amgen Inc.,Healthcare,Drug Manufacturers - General,US,AMGN,71.0,60.0,59.0,87.0,5.0,45.0,66.0,60.0,73.0,73.0,67.0,57.0,62.0,94.0,57.0,57.0,67.0
The Progressive Corporation,Financial Services,Insurance - Property & Casualty,US,PGR,73.0,85.0,73.0,79.0,76.0,61.0,84.0,86.0,97.0,84.0,61.0,70.0,83.0,81.0,83.0,72.0,57.0
"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement,US,LOW,66.0,54.0,46.0,62.0,83.0,58.0,37.0,63.0,63.0,79.0,56.0,86.0,66.0,72.0,72.0,72.0,70.0
Stryker Corporation,Healthcare,Medical - Devices,US,SYK,54.0,58.0,70.0,43.0,31.0,63.0,64.0,58.0,60.0,74.0,78.0,53.0,36.0,65.0,48.0,33.0,90.0
Honeywell International Inc.,Industrials,Conglomerates,US,HON,58.0,50.0,63.0,49.0,33.0,79.0,57.0,49.0,58.0,58.0,63.0,55.0,45.0,90.0,50.0,51.0,51.0
"Uber Technologies, Inc.",Technology,Software - Application,US,UBER,65.0,76.0,48.0,72.0,9.0,41.0,90.0,76.0,17.0,45.0,34.0,30.0,8.0,24.0,96.0,,
Union Pacific Corporation,Industrials,Railroads,US,UNP,64.0,62.0,67.0,58.0,66.0,65.0,62.0,62.0,68.0,68.0,70.0,66.0,66.0,32.0,70.0,65.0,59.0
"Applied Materials, Inc.",Technology,Semiconductors,US,AMAT,54.0,20.0,51.0,64.0,48.0,59.0,43.0,61.0,45.0,50.0,58.0,58.0,53.0,48.0,60.0,40.0,66.0
The Charles Schwab Corporation,Financial Services,Financial - Capital Markets,US,SCHW,93.0,91.0,97.0,7.0,11.0,97.0,5.0,91.0,25.0,27.0,79.0,85.0,90.0,28.0,59.0,41.0,70.0
Pfizer Inc.,Healthcare,Drug Manufacturers - General,US,PFE,84.0,92.0,65.0,0.0,34.0,11.0,10.0,91.0,52.0,70.0,78.0,40.0,64.0,36.0,78.0,77.0,72.0
Blackstone Inc.,Financial Services,Asset Management,US,BX,75.0,87.0,88.0,56.0,26.0,93.0,72.0,87.0,84.0,26.0,50.0,30.0,19.0,7.0,14.0,89.0,46.0
KKR & Co. Inc.,Financial Services,Asset Management,US,KKR,85.0,15.0,77.0,90.0,88.0,75.0,60.0,14.0,98.0,7.0,6.0,6.0,3.0,5.0,3.0,38.0,88.0
The Toronto-Dominion Bank,Financial Services,Banks - Diversified,CA,TD.TO,97.0,20.0,25.0,71.0,10.0,61.0,92.0,5.0,85.0,91.0,98.0,20.0,28.0,89.0,93.0,92.0,89.0
"The TJX Companies, Inc.",Consumer Cyclical,Apparel - Retail,US,TJX,61.0,63.0,48.0,66.0,44.0,74.0,51.0,58.0,52.0,99.0,62.0,63.0,54.0,66.0,55.0,59.0,51.0
Boston Scientific Corporation,Healthcare,Medical - Devices,US,BSX,70.0,69.0,76.0,81.0,33.0,73.0,62.0,69.0,85.0,77.0,2.0,27.0,22.0,98.0,85.0,7.0,94.0
Palantir Technologies Inc.,Technology,Software - Infrastructure,US,PLTR,78.0,89.0,84.0,56.0,64.0,85.0,71.0,89.0,11.0,11.0,30.0,25.0,20.0,,,,
Enbridge Inc.,Energy,Oil & Gas Midstream,CA,ENB.TO,76.0,81.0,75.0,67.0,81.0,76.0,92.0,82.0,93.0,71.0,86.0,71.0,90.0,81.0,82.0,99.0,71.0
Enbridge Inc,Energy,Oil & Gas Midstream,CA,ENB-PA.TO,76.0,81.0,76.0,68.0,81.0,76.0,92.0,82.0,93.0,71.0,86.0,71.0,90.0,81.0,82.0,99.0,71.0
Citigroup Inc.,Financial Services,Banks - Diversified,US,C,11.0,3.0,5.0,17.0,85.0,18.0,91.0,3.0,77.0,88.0,9.0,13.0,78.0,49.0,90.0,80.0,95.0
"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,US,PANW,58.0,61.0,90.0,65.0,77.0,36.0,95.0,95.0,3.0,5.0,5.0,2.0,3.0,4.0,6.0,8.0,14.0
ConocoPhillips,Energy,Oil & Gas Exploration & Production,US,COP,78.0,75.0,83.0,77.0,78.0,71.0,72.0,75.0,74.0,82.0,9.0,69.0,78.0,2.0,9.0,9.0,82.0
Lockheed Martin Corporation,Industrials,Aerospace & Defense,US,LMT,60.0,57.0,65.0,58.0,58.0,62.0,68.0,57.0,69.0,70.0,61.0,57.0,32.0,88.0,45.0,61.0,47.0
"Arista Networks, Inc.",Technology,Computer Hardware,US,ANET,29.0,26.0,36.0,31.0,30.0,32.0,30.0,25.0,21.0,25.0,31.0,25.0,25.0,24.0,23.0,28.0,24.0
"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,US,ADP,58.0,56.0,49.0,68.0,65.0,60.0,32.0,60.0,57.0,61.0,62.0,57.0,68.0,54.0,54.0,58.0,51.0
"Fiserv, Inc.",Technology,Information Technology Services,US,FI,76.0,72.0,89.0,67.0,62.0,72.0,67.0,72.0,80.0,89.0,92.0,89.0,60.0,53.0,63.0,74.0,69.0
Brookfield Corporation,Financial Services,Asset Management,CA,BN.TO,95.0,94.0,,98.0,87.0,77.0,98.0,94.0,77.0,36.0,97.0,57.0,65.0,85.0,72.0,56.0,37.0
Deere & Company,Industrials,Agricultural - Machinery,US,DE,58.0,45.0,71.0,44.0,18.0,79.0,52.0,45.0,37.0,65.0,85.0,53.0,37.0,47.0,82.0,74.0,49.0
Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,US,BMY,7.0,73.0,91.0,64.0,21.0,79.0,79.0,73.0,83.0,84.0,10.0,83.0,55.0,94.0,33.0,50.0,65.0
Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,US,VRTX,73.0,51.0,61.0,55.0,63.0,32.0,58.0,51.0,65.0,59.0,61.0,62.0,31.0,88.0,7.0,34.0,32.0
"Micron Technology, Inc.",Technology,Semiconductors,US,MU,97.0,97.0,89.0,95.0,72.0,13.0,19.0,16.0,79.0,82.0,88.0,79.0,57.0,67.0,2.0,72.0,72.0
Starbucks Corporation,Consumer Cyclical,Restaurants,US,SBUX,70.0,70.0,69.0,68.0,43.0,78.0,66.0,67.0,69.0,69.0,73.0,65.0,85.0,62.0,66.0,59.0,24.0
"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,US,UPS,70.0,68.0,53.0,65.0,87.0,66.0,73.0,69.0,64.0,60.0,96.0,77.0,85.0,23.0,72.0,65.0,73.0
"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,US,GILD,100.0,65.0,87.0,46.0,17.0,67.0,44.0,65.0,82.0,78.0,100.0,72.0,68.0,84.0,53.0,50.0,46.0
"NIKE, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,US,NKE,67.0,62.0,35.0,71.0,76.0,71.0,22.0,57.0,47.0,60.0,56.0,67.0,84.0,40.0,39.0,62.0,49.0
"Marsh & McLennan Companies, Inc.",Financial Services,Insurance - Brokers,US,MMC,53.0,57.0,80.0,56.0,17.0,79.0,79.0,57.0,61.0,59.0,72.0,63.0,66.0,56.0,50.0,52.0,60.0
The Boeing Company,Industrials,Aerospace & Defense,US,BA,39.0,6.0,32.0,83.0,97.0,0.0,22.0,6.0,11.0,44.0,69.0,92.0,66.0,67.0,77.0,72.0,66.0
AppLovin Corporation,Technology,Software - Application,US,APP,68.0,87.0,60.0,66.0,74.0,74.0,70.0,87.0,7.0,97.0,10.0,71.0,13.0,,,,
"Analog Devices, Inc.",Technology,Semiconductors,US,ADI,81.0,,82.0,84.0,76.0,78.0,61.0,66.0,76.0,80.0,71.0,71.0,71.0,65.0,61.0,57.0,58.0
"Prologis, Inc.",Real Estate,REIT - Industrial,US,PLD,67.0,73.0,64.0,61.0,76.0,70.0,81.0,74.0,65.0,55.0,78.0,66.0,51.0,48.0,51.0,50.0,48.0
Intel Corporation,Technology,Semiconductors,US,INTC,14.0,95.0,21.0,10.0,88.0,70.0,98.0,95.0,82.0,70.0,73.0,69.0,64.0,81.0,76.0,69.0,69.0
Canadian Natural Resources Limited,Energy,Oil & Gas Exploration & Production,CA,CNQ.TO,76.0,68.0,61.0,80.0,86.0,72.0,64.0,68.0,79.0,79.0,2.0,71.0,91.0,87.0,1.0,2.0,77.0
Thomson Reuters Corporation,Industrials,Specialty Business Services,CA,TRI.TO,60.0,47.0,83.0,47.0,52.0,57.0,70.0,47.0,56.0,5.0,56.0,25.0,29.0,63.0,44.0,79.0,52.0
Dell Technologies Inc.,Technology,Computer Hardware,US,DELL,31.0,85.0,8.0,64.0,53.0,67.0,91.0,67.0,81.0,92.0,78.0,6.0,6.0,12.0,7.0,8.0,
Constellation Software Inc.,Technology,Software - Application,CA,CSU.TO,87.0,88.0,25.0,81.0,90.0,83.0,92.0,88.0,88.0,97.0,85.0,83.0,73.0,82.0,80.0,79.0,89.0
Canadian Pacific Railway Limited,Industrials,Railroads,CA,CP.TO,65.0,54.0,66.0,65.0,67.0,63.0,60.0,54.0,63.0,65.0,60.0,59.0,63.0,43.0,56.0,72.0,60.0
Southern Company (The) Series 2,Utilities,Regulated Electric,US,SOJD,77.0,76.0,78.0,79.0,62.0,76.0,73.0,76.0,80.0,87.0,80.0,59.0,88.0,96.0,74.0,84.0,86.0
The Southern Company,Utilities,Regulated Electric,US,SO,77.0,76.0,78.0,79.0,62.0,76.0,73.0,76.0,80.0,87.0,80.0,59.0,88.0,96.0,74.0,84.0,86.0
The Sherwin-Williams Company,Basic Materials,Chemicals - Specialty,US,SHW,59.0,67.0,62.0,63.0,22.0,81.0,68.0,67.0,53.0,62.0,72.0,68.0,73.0,49.0,50.0,60.0,53.0
The Bank of Nova Scotia,Financial Services,Banks - Diversified,CA,BNS.TO,78.0,20.0,25.0,87.0,17.0,70.0,76.0,92.0,78.0,8.0,96.0,9.0,79.0,78.0,31.0,75.0,32.0
Bank of Montreal,Financial Services,Banks - Diversified,CA,BMO.TO,87.0,95.0,25.0,10.0,96.0,89.0,77.0,80.0,27.0,95.0,97.0,94.0,89.0,29.0,13.0,31.0,12.0
The Southern Company JR 2017B NT 77,Utilities,Regulated Electric,US,SOJC,77.0,76.0,78.0,79.0,62.0,76.0,73.0,76.0,80.0,87.0,80.0,59.0,88.0,96.0,74.0,84.0,86.0
Canadian National Railway Company,Industrials,Railroads,CA,CNR.TO,62.0,60.0,68.0,69.0,57.0,59.0,61.0,60.0,67.0,69.0,74.0,65.0,63.0,47.0,60.0,62.0,58.0
"Altria Group, Inc.",Consumer Defensive,Tobacco,US,MO,46.0,57.0,57.0,22.0,68.0,68.0,61.0,57.0,72.0,91.0,76.0,3.0,56.0,27.0,25.0,50.0,41.0
American Tower Corporation,Real Estate,REIT - Specialty,US,AMT,93.0,88.0,10.0,66.0,69.0,97.0,76.0,88.0,84.0,79.0,82.0,78.0,88.0,82.0,85.0,88.0,84.0
Lam Research Corporation,Technology,Semiconductors,US,LRCX,62.0,59.0,63.0,48.0,70.0,67.0,54.0,57.0,38.0,50.0,55.0,66.0,52.0,53.0,61.0,53.0,49.0
GE Vernova Inc.,Utilities,Renewable Utilities,US,GEV,87.0,6.0,2.0,44.0,89.0,98.0,10.0,6.0,20.0,87.0,,,,,,,
Elevance Health Inc.,Healthcare,Medical - Healthcare Plans,US,ELV,30.0,64.0,81.0,28.0,51.0,6.0,74.0,64.0,71.0,67.0,82.0,60.0,48.0,50.0,55.0,67.0,56.0
"Apollo Global Management, Inc.",Financial Services,Asset Management - Global,US,APO,44.0,60.0,75.0,53.0,38.0,38.0,15.0,61.0,7.0,34.0,2.0,61.0,0.0,56.0,63.0,92.0,7.0
Cigna Corporation,Healthcare,Medical - Healthcare Plans,US,CI,85.0,81.0,39.0,27.0,2.0,65.0,100.0,82.0,67.0,66.0,62.0,76.0,65.0,73.0,77.0,57.0,42.0
"Intercontinental Exchange, Inc.",Financial Services,Financial - Data & Stock Exchanges,US,ICE,71.0,68.0,63.0,74.0,67.0,81.0,62.0,68.0,87.0,42.0,66.0,64.0,58.0,39.0,62.0,47.0,64.0
Parker-Hannifin Corporation,Industrials,Industrial - Machinery,US,PH,59.0,58.0,55.0,68.0,60.0,56.0,52.0,66.0,81.0,70.0,74.0,56.0,67.0,58.0,60.0,57.0,56.0
Cintas Corporation,Industrials,Specialty Business Services,US,CTAS,64.0,63.0,54.0,70.0,74.0,57.0,47.0,58.0,65.0,63.0,68.0,58.0,53.0,67.0,33.0,59.0,66.0
"Equinix, Inc.",Real Estate,REIT - Specialty,US,EQIX,87.0,88.0,80.0,85.0,84.0,90.0,83.0,89.0,94.0,95.0,95.0,92.0,94.0,95.0,96.0,93.0,7.0
"Waste Management, Inc.",Industrials,Waste Management,US,WM,77.0,78.0,70.0,71.0,78.0,82.0,72.0,78.0,83.0,85.0,81.0,83.0,75.0,68.0,82.0,89.0,71.0
Duke Energy Corporation,Utilities,Regulated Electric,US,DUK,41.0,89.0,6.0,87.0,80.0,81.0,83.0,89.0,86.0,82.0,95.0,81.0,85.0,79.0,87.0,81.0,90.0
Amphenol Corporation,Technology,"Hardware, Equipment & Parts",US,APH,61.0,62.0,58.0,61.0,60.0,69.0,57.0,63.0,62.0,53.0,65.0,62.0,44.0,71.0,56.0,59.0,53.0
Duke Energy Corporation 5.625% ,Utilities,Regulated Electric,US,DUKB,41.0,89.0,6.0,87.0,80.0,81.0,83.0,89.0,86.0,82.0,95.0,81.0,85.0,79.0,88.0,81.0,90.0
"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,US,CRWD,96.0,98.0,94.0,95.0,95.0,97.0,99.0,4.0,6.0,4.0,15.0,23.0,27.0,29.0,,,
"Mondelez International, Inc.",Consumer Defensive,Food Confectioners,US,MDLZ,62.0,50.0,66.0,64.0,54.0,69.0,57.0,50.0,72.0,65.0,76.0,52.0,76.0,42.0,68.0,30.0,66.0
Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,US,MCO,62.0,63.0,61.0,61.0,67.0,65.0,57.0,63.0,59.0,50.0,62.0,58.0,52.0,35.0,93.0,55.0,45.0
Welltower Inc.,Real Estate,REIT - Healthcare Facilities,US,WELL,81.0,93.0,66.0,80.0,88.0,91.0,87.0,93.0,97.0,97.0,1.0,87.0,77.0,85.0,62.0,66.0,78.0
"Synopsys, Inc.",Technology,Software - Infrastructure,US,SNPS,43.0,20.0,25.0,68.0,59.0,21.0,51.0,65.0,79.0,81.0,68.0,68.0,47.0,93.0,78.0,79.0,77.0
