Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Costco Wholesale Corporation,Consumer Defensive,Discount Stores,US,COST,39.0,46.0,43.0,45.0,45.0,42.0,41.0,45.0,38.0,39.0,39.0,36.0,33.0,32.0,31.0,30.0,27.0
"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,US,HD,63.0,66.0,62.0,67.0,66.0,61.0,62.0,67.0,60.0,58.0,62.0,60.0,58.0,57.0,55.0,55.0,51.0
The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,US,PG,77.0,79.0,77.0,73.0,78.0,80.0,78.0,78.0,71.0,71.0,75.0,72.0,69.0,68.0,70.0,66.0,65.0
"Netflix, Inc.",Communication Services,Entertainment,US,NFLX,96.0,95.0,95.0,95.0,95.0,92.0,95.0,94.0,91.0,93.0,94.0,93.0,90.0,91.0,92.0,90.0,90.0
Johnson & Johnson,Healthcare,Drug Manufacturers - General,US,JNJ,83.0,79.0,73.0,87.0,87.0,81.0,84.0,78.0,79.0,78.0,76.0,73.0,71.0,69.0,73.0,70.0,71.0
Bank of America Corporation,Financial Services,Banks - Diversified,US,BAC,37.0,81.0,23.0,26.0,80.0,66.0,82.0,81.0,77.0,81.0,75.0,84.0,81.0,78.0,75.0,72.0,46.0
"Salesforce, Inc.",Technology,Software - Application,US,CRM,71.0,78.0,23.0,80.0,83.0,83.0,76.0,73.0,48.0,40.0,57.0,59.0,45.0,41.0,43.0,33.0,25.0
AbbVie Inc.,Healthcare,Drug Manufacturers - General,US,ABBV,89.0,82.0,82.0,84.0,87.0,79.0,63.0,82.0,84.0,86.0,60.0,85.0,69.0,80.0,82.0,79.0,63.0
Chevron Corporation,Energy,Oil & Gas Integrated,US,CVX,73.0,75.0,71.0,70.0,73.0,71.0,62.0,74.0,72.0,70.0,57.0,71.0,70.0,38.0,16.0,15.0,41.0
The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,US,KO,83.0,83.0,82.0,75.0,73.0,71.0,81.0,83.0,75.0,83.0,85.0,80.0,73.0,68.0,69.0,71.0,68.0
"T-Mobile US, Inc.",Communication Services,Telecommunications Services,US,TMUS,86.0,83.0,85.0,86.0,86.0,82.0,82.0,83.0,72.0,73.0,78.0,73.0,71.0,69.0,69.0,66.0,60.0
"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,US,MRK,80.0,58.0,81.0,89.0,89.0,25.0,87.0,57.0,80.0,77.0,70.0,73.0,68.0,63.0,66.0,62.0,84.0
Wells Fargo & Company,Financial Services,Banks - Diversified,US,WFC,93.0,84.0,85.0,84.0,81.0,82.0,93.0,84.0,81.0,95.0,53.0,93.0,92.0,94.0,95.0,96.0,96.0
Royal Bank of Canada,Financial Services,Banks - Diversified,CA,RY.TO,43.0,25.0,23.0,88.0,43.0,39.0,82.0,86.0,95.0,86.0,80.0,81.0,94.0,92.0,91.0,92.0,91.0
"Cisco Systems, Inc.",Technology,Communication Equipment,US,CSCO,77.0,80.0,74.0,78.0,79.0,78.0,81.0,82.0,75.0,76.0,81.0,79.0,76.0,76.0,75.0,73.0,70.0
"Advanced Micro Devices, Inc.",Technology,Semiconductors,US,AMD,69.0,69.0,71.0,67.0,64.0,68.0,64.0,68.0,64.0,69.0,63.0,53.0,44.0,34.0,14.0,15.0,33.0
Adobe Inc.,Technology,Software - Infrastructure,US,ADBE,88.0,83.0,87.0,86.0,87.0,86.0,85.0,83.0,80.0,82.0,85.0,80.0,77.0,77.0,74.0,70.0,58.0
"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,US,PEP,66.0,67.0,69.0,73.0,71.0,63.0,68.0,66.0,60.0,61.0,64.0,64.0,63.0,63.0,61.0,61.0,59.0
Morgan Stanley,Financial Services,Financial - Capital Markets,US,MS,86.0,89.0,85.0,79.0,84.0,77.0,78.0,88.0,71.0,77.0,78.0,73.0,72.0,70.0,69.0,67.0,41.0
"ServiceNow, Inc.",Technology,Software - Application,US,NOW,67.0,68.0,72.0,60.0,67.0,71.0,61.0,68.0,52.0,53.0,53.0,49.0,37.0,27.0,15.0,13.0,10.0
The Walt Disney Company,Communication Services,Entertainment,US,DIS,62.0,65.0,56.0,71.0,70.0,68.0,62.0,60.0,56.0,53.0,57.0,69.0,73.0,72.0,74.0,73.0,70.0
McDonald's Corporation,Consumer Cyclical,Restaurants,US,MCD,92.0,92.0,89.0,92.0,92.0,88.0,90.0,92.0,82.0,84.0,85.0,86.0,81.0,78.0,74.0,71.0,71.0
American Express Company,Financial Services,Financial - Credit Services,US,AXP,74.0,76.0,75.0,81.0,80.0,68.0,67.0,75.0,71.0,73.0,61.0,68.0,73.0,74.0,76.0,75.0,75.0
International Business Machines Corporation,Technology,Information Technology Services,US,IBM,69.0,76.0,47.0,75.0,68.0,69.0,70.0,75.0,52.0,66.0,63.0,68.0,64.0,63.0,64.0,68.0,69.0
Philip Morris International Inc.,Consumer Defensive,Tobacco,US,PM,87.0,86.0,87.0,87.0,84.0,84.0,85.0,85.0,82.0,85.0,88.0,84.0,81.0,82.0,83.0,83.0,83.0
Abbott Laboratories,Healthcare,Medical - Devices,US,ABT,77.0,78.0,76.0,66.0,63.0,77.0,73.0,77.0,69.0,69.0,69.0,66.0,62.0,59.0,51.0,60.0,54.0
Thermo Fisher Scientific Inc.,Healthcare,Medical - Diagnostics & Research,US,TMO,78.0,78.0,76.0,75.0,76.0,66.0,76.0,77.0,71.0,75.0,79.0,72.0,70.0,68.0,68.0,68.0,64.0
"Intuitive Surgical, Inc.",Healthcare,Medical - Instruments & Supplies,US,ISRG,82.0,81.0,82.0,83.0,81.0,79.0,79.0,81.0,70.0,75.0,71.0,76.0,75.0,76.0,77.0,74.0,68.0
General Electric Company,Industrials,Aerospace & Defense,US,GE,63.0,71.0,74.0,71.0,64.0,59.0,60.0,70.0,44.0,41.0,36.0,42.0,41.0,37.0,52.0,48.0,61.0
Shopify Inc.,Technology,Software - Application,CA,SHOP.TO,61.0,25.0,58.0,62.0,47.0,24.0,15.0,25.0,19.0,43.0,41.0,18.0,16.0,16.0,14.0,14.0,10.0
Intuit Inc.,Technology,Software - Application,US,INTU,77.0,79.0,49.0,44.0,91.0,67.0,64.0,79.0,71.0,74.0,79.0,76.0,73.0,73.0,74.0,70.0,75.0
Caterpillar Inc.,Industrials,Agricultural - Machinery,US,CAT,75.0,75.0,72.0,77.0,77.0,72.0,72.0,75.0,65.0,66.0,62.0,65.0,63.0,57.0,45.0,54.0,55.0
"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,US,GS,84.0,83.0,83.0,85.0,87.0,77.0,80.0,83.0,95.0,87.0,82.0,81.0,96.0,81.0,82.0,74.0,82.0
Texas Instruments Incorporated,Technology,Semiconductors,US,TXN,91.0,91.0,90.0,87.0,87.0,89.0,90.0,91.0,88.0,91.0,91.0,90.0,86.0,86.0,85.0,84.0,82.0
Verizon Communications Inc.,Communication Services,Telecommunications Services,US,VZ,79.0,81.0,80.0,85.0,84.0,78.0,82.0,80.0,78.0,81.0,82.0,81.0,78.0,78.0,76.0,79.0,71.0
QUALCOMM Incorporated,Technology,Semiconductors,US,QCOM,81.0,83.0,80.0,80.0,80.0,83.0,69.0,78.0,80.0,77.0,80.0,82.0,45.0,59.0,76.0,71.0,76.0
Booking Holdings Inc.,Consumer Cyclical,Travel Services,US,BKNG,82.0,83.0,87.0,83.0,74.0,65.0,89.0,82.0,72.0,66.0,86.0,84.0,80.0,80.0,81.0,80.0,79.0
Danaher Corporation,Healthcare,Medical - Diagnostics & Research,US,DHR,85.0,82.0,77.0,81.0,82.0,88.0,77.0,81.0,77.0,77.0,75.0,71.0,68.0,66.0,68.0,65.0,65.0
Comcast Corporation,Communication Services,Telecommunications Services,US,CMCSA,81.0,82.0,79.0,83.0,82.0,78.0,80.0,82.0,73.0,75.0,77.0,76.0,74.0,76.0,76.0,75.0,74.0
AT&T Inc.,Communication Services,Telecommunications Services,US,T,83.0,85.0,76.0,85.0,86.0,80.0,84.0,85.0,80.0,81.0,78.0,76.0,77.0,73.0,74.0,74.0,68.0
AT&T Inc. 5.35% GLB NTS 66,Communication Services,Telecommunications Services,US,TBB,83.0,85.0,76.0,85.0,85.0,82.0,84.0,85.0,80.0,79.0,78.0,76.0,77.0,73.0,74.0,74.0,68.0
AT&T Inc. 5.625% Global Notes d,Communication Services,Telecommunications Services,US,TBC,83.0,83.0,76.0,86.0,85.0,82.0,83.0,83.0,77.0,76.0,79.0,77.0,20.0,19.0,18.0,17.0,15.0
RTX Corporation,Industrials,Aerospace & Defense,US,RTX,61.0,62.0,65.0,59.0,61.0,65.0,36.0,62.0,60.0,61.0,53.0,61.0,60.0,59.0,59.0,57.0,59.0
"BlackRock, Inc.",Financial Services,Asset Management,US,BLK,86.0,88.0,86.0,87.0,85.0,83.0,83.0,88.0,79.0,81.0,86.0,84.0,80.0,80.0,83.0,83.0,81.0
"NextEra Energy, Inc.",Utilities,Regulated Electric,US,NEE,94.0,93.0,92.0,91.0,93.0,92.0,86.0,93.0,82.0,87.0,88.0,90.0,87.0,84.0,88.0,86.0,84.0
S&P Global Inc.,Financial Services,Financial - Data & Stock Exchanges,US,SPGI,91.0,88.0,89.0,91.0,90.0,84.0,87.0,87.0,78.0,90.0,91.0,89.0,84.0,84.0,83.0,80.0,30.0
Amgen Inc.,Healthcare,Drug Manufacturers - General,US,AMGN,87.0,92.0,94.0,86.0,82.0,84.0,84.0,91.0,76.0,78.0,83.0,87.0,83.0,85.0,84.0,83.0,75.0
The Progressive Corporation,Financial Services,Insurance - Property & Casualty,US,PGR,70.0,53.0,99.0,52.0,67.0,63.0,49.0,53.0,36.0,47.0,64.0,56.0,47.0,41.0,36.0,42.0,42.0
"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement,US,LOW,60.0,65.0,61.0,66.0,63.0,57.0,60.0,59.0,56.0,55.0,52.0,44.0,50.0,46.0,45.0,46.0,43.0
Stryker Corporation,Healthcare,Medical - Devices,US,SYK,76.0,76.0,73.0,77.0,75.0,77.0,72.0,75.0,67.0,66.0,68.0,72.0,68.0,70.0,70.0,72.0,57.0
Honeywell International Inc.,Industrials,Conglomerates,US,HON,76.0,76.0,74.0,75.0,76.0,76.0,74.0,75.0,67.0,70.0,70.0,70.0,65.0,63.0,62.0,62.0,58.0
"Uber Technologies, Inc.",Technology,Software - Application,US,UBER,52.0,47.0,76.0,55.0,48.0,53.0,46.0,46.0,22.0,17.0,13.0,10.0,13.0,10.0,8.0,,
Union Pacific Corporation,Industrials,Railroads,US,UNP,92.0,91.0,90.0,90.0,91.0,89.0,88.0,91.0,86.0,90.0,92.0,90.0,84.0,86.0,86.0,86.0,84.0
"Applied Materials, Inc.",Technology,Semiconductors,US,AMAT,80.0,80.0,78.0,80.0,80.0,80.0,81.0,81.0,75.0,76.0,75.0,72.0,74.0,72.0,67.0,63.0,63.0
The Charles Schwab Corporation,Financial Services,Financial - Capital Markets,US,SCHW,79.0,93.0,23.0,88.0,89.0,22.0,22.0,93.0,89.0,87.0,87.0,89.0,88.0,86.0,85.0,82.0,80.0
Pfizer Inc.,Healthcare,Drug Manufacturers - General,US,PFE,74.0,66.0,86.0,78.0,88.0,36.0,18.0,65.0,83.0,78.0,81.0,82.0,80.0,79.0,78.0,78.0,79.0
Blackstone Inc.,Financial Services,Asset Management,US,BX,88.0,89.0,37.0,90.0,96.0,74.0,91.0,89.0,78.0,83.0,75.0,78.0,76.0,92.0,87.0,80.0,87.0
KKR & Co. Inc.,Financial Services,Asset Management,US,KKR,88.0,93.0,90.0,90.0,57.0,76.0,92.0,92.0,74.0,85.0,95.0,94.0,93.0,93.0,93.0,80.0,10.0
The Toronto-Dominion Bank,Financial Services,Banks - Diversified,CA,TD.TO,30.0,25.0,23.0,28.0,43.0,39.0,74.0,79.0,95.0,86.0,82.0,83.0,94.0,92.0,90.0,89.0,90.0
"The TJX Companies, Inc.",Consumer Cyclical,Apparel - Retail,US,TJX,57.0,61.0,60.0,59.0,61.0,58.0,56.0,58.0,51.0,39.0,56.0,54.0,52.0,52.0,52.0,53.0,51.0
Boston Scientific Corporation,Healthcare,Medical - Devices,US,BSX,74.0,76.0,74.0,77.0,77.0,77.0,70.0,75.0,66.0,68.0,65.0,64.0,68.0,64.0,64.0,61.0,59.0
Palantir Technologies Inc.,Technology,Software - Infrastructure,US,PLTR,61.0,50.0,64.0,66.0,62.0,57.0,60.0,49.0,21.0,15.0,9.0,9.0,8.0,,,,
Enbridge Inc.,Energy,Oil & Gas Midstream,CA,ENB.TO,85.0,85.0,77.0,81.0,84.0,86.0,81.0,85.0,71.0,73.0,80.0,73.0,70.0,67.0,65.0,47.0,50.0
Enbridge Inc,Energy,Oil & Gas Midstream,CA,ENB-PA.TO,85.0,85.0,77.0,81.0,84.0,86.0,81.0,85.0,71.0,73.0,80.0,73.0,70.0,67.0,65.0,47.0,50.0
Citigroup Inc.,Financial Services,Banks - Diversified,US,C,58.0,25.0,23.0,83.0,87.0,20.0,64.0,25.0,65.0,75.0,62.0,75.0,73.0,72.0,71.0,73.0,55.0
"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,US,PANW,65.0,66.0,70.0,68.0,60.0,63.0,58.0,52.0,22.0,20.0,22.0,31.0,19.0,15.0,13.0,13.0,11.0
ConocoPhillips,Energy,Oil & Gas Exploration & Production,US,COP,89.0,89.0,87.0,87.0,89.0,87.0,87.0,89.0,83.0,86.0,66.0,88.0,82.0,77.0,63.0,57.0,78.0
Lockheed Martin Corporation,Industrials,Aerospace & Defense,US,LMT,60.0,65.0,61.0,62.0,62.0,62.0,54.0,64.0,54.0,55.0,60.0,58.0,54.0,53.0,59.0,52.0,52.0
"Arista Networks, Inc.",Technology,Computer Hardware,US,ANET,88.0,87.0,87.0,87.0,88.0,86.0,85.0,86.0,78.0,76.0,79.0,80.0,76.0,73.0,67.0,61.0,66.0
"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,US,ADP,81.0,81.0,80.0,77.0,78.0,73.0,69.0,73.0,64.0,62.0,64.0,58.0,51.0,51.0,51.0,49.0,48.0
"Fiserv, Inc.",Technology,Information Technology Services,US,FI,89.0,87.0,89.0,87.0,86.0,88.0,86.0,87.0,79.0,77.0,78.0,76.0,77.0,76.0,76.0,75.0,73.0
Brookfield Corporation,Financial Services,Asset Management,CA,BN.TO,84.0,82.0,86.0,79.0,82.0,88.0,75.0,81.0,71.0,74.0,73.0,73.0,67.0,69.0,77.0,78.0,78.0
Deere & Company,Industrials,Agricultural - Machinery,US,DE,80.0,79.0,80.0,80.0,79.0,78.0,78.0,78.0,67.0,69.0,68.0,65.0,63.0,62.0,59.0,58.0,60.0
Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,US,BMY,52.0,88.0,86.0,87.0,85.0,83.0,84.0,88.0,82.0,84.0,81.0,71.0,71.0,71.0,72.0,53.0,50.0
Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,US,VRTX,39.0,90.0,88.0,8.0,89.0,85.0,90.0,90.0,85.0,79.0,91.0,80.0,65.0,49.0,26.0,9.0,6.0
"Micron Technology, Inc.",Technology,Semiconductors,US,MU,86.0,86.0,88.0,86.0,82.0,69.0,59.0,67.0,88.0,86.0,86.0,91.0,92.0,86.0,71.0,79.0,75.0
Starbucks Corporation,Consumer Cyclical,Restaurants,US,SBUX,69.0,70.0,67.0,71.0,66.0,71.0,70.0,71.0,63.0,67.0,58.0,67.0,66.0,68.0,68.0,67.0,67.0
"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,US,UPS,58.0,63.0,59.0,60.0,59.0,60.0,53.0,62.0,62.0,65.0,43.0,44.0,43.0,46.0,41.0,50.0,37.0
"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,US,GILD,58.0,86.0,74.0,90.0,89.0,87.0,83.0,86.0,79.0,77.0,81.0,73.0,80.0,89.0,91.0,94.0,92.0
"NIKE, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,US,NKE,58.0,62.0,56.0,63.0,61.0,62.0,57.0,57.0,56.0,58.0,47.0,52.0,50.0,52.0,52.0,51.0,49.0
"Marsh & McLennan Companies, Inc.",Financial Services,Insurance - Brokers,US,MMC,80.0,79.0,74.0,82.0,83.0,76.0,71.0,78.0,70.0,71.0,71.0,67.0,67.0,66.0,62.0,60.0,59.0
The Boeing Company,Industrials,Aerospace & Defense,US,BA,26.0,44.0,14.0,23.0,44.0,44.0,24.0,43.0,24.0,22.0,17.0,31.0,53.0,51.0,38.0,41.0,41.0
AppLovin Corporation,Technology,Software - Application,US,APP,90.0,84.0,91.0,89.0,88.0,86.0,69.0,83.0,63.0,65.0,66.0,75.0,86.0,,,,
"Analog Devices, Inc.",Technology,Semiconductors,US,ADI,89.0,73.0,88.0,88.0,88.0,87.0,89.0,91.0,85.0,81.0,87.0,87.0,83.0,75.0,79.0,73.0,74.0
"Prologis, Inc.",Real Estate,REIT - Industrial,US,PLD,97.0,97.0,98.0,95.0,95.0,93.0,95.0,97.0,93.0,96.0,96.0,95.0,97.0,98.0,98.0,97.0,92.0
Intel Corporation,Technology,Semiconductors,US,INTC,36.0,73.0,13.0,58.0,68.0,78.0,73.0,72.0,70.0,83.0,89.0,87.0,75.0,69.0,71.0,70.0,70.0
Canadian Natural Resources Limited,Energy,Oil & Gas Exploration & Production,CA,CNQ.TO,91.0,90.0,90.0,89.0,87.0,90.0,86.0,90.0,83.0,86.0,79.0,88.0,83.0,82.0,75.0,78.0,84.0
Thomson Reuters Corporation,Industrials,Specialty Business Services,CA,TRI.TO,86.0,89.0,82.0,84.0,87.0,72.0,88.0,88.0,83.0,75.0,89.0,76.0,70.0,70.0,71.0,71.0,75.0
Dell Technologies Inc.,Technology,Computer Hardware,US,DELL,41.0,55.0,20.0,52.0,52.0,56.0,51.0,52.0,47.0,51.0,52.0,46.0,43.0,35.0,31.0,31.0,
Constellation Software Inc.,Technology,Software - Application,CA,CSU.TO,71.0,67.0,74.0,76.0,71.0,61.0,72.0,67.0,68.0,65.0,77.0,71.0,68.0,67.0,69.0,67.0,64.0
Canadian Pacific Railway Limited,Industrials,Railroads,CA,CP.TO,92.0,21.0,90.0,90.0,90.0,90.0,90.0,21.0,91.0,89.0,93.0,91.0,87.0,89.0,88.0,86.0,83.0
Southern Company (The) Series 2,Utilities,Regulated Electric,US,SOJD,91.0,90.0,91.0,90.0,89.0,87.0,90.0,89.0,76.0,76.0,88.0,85.0,74.0,67.0,78.0,78.0,72.0
The Southern Company,Utilities,Regulated Electric,US,SO,91.0,90.0,91.0,90.0,89.0,87.0,90.0,89.0,76.0,76.0,88.0,85.0,74.0,67.0,78.0,78.0,72.0
The Sherwin-Williams Company,Basic Materials,Chemicals - Specialty,US,SHW,68.0,69.0,69.0,73.0,66.0,64.0,64.0,68.0,57.0,56.0,63.0,58.0,50.0,51.0,54.0,52.0,46.0
The Bank of Nova Scotia,Financial Services,Banks - Diversified,CA,BNS.TO,44.0,25.0,23.0,28.0,43.0,84.0,73.0,25.0,96.0,85.0,79.0,83.0,96.0,94.0,94.0,94.0,94.0
Bank of Montreal,Financial Services,Banks - Diversified,CA,BMO.TO,40.0,25.0,23.0,86.0,44.0,41.0,80.0,78.0,98.0,84.0,78.0,78.0,94.0,91.0,89.0,89.0,92.0
The Southern Company JR 2017B NT 77,Utilities,Regulated Electric,US,SOJC,91.0,90.0,91.0,90.0,89.0,87.0,90.0,89.0,76.0,76.0,88.0,85.0,74.0,67.0,78.0,78.0,72.0
Canadian National Railway Company,Industrials,Railroads,CA,CNR.TO,89.0,92.0,91.0,90.0,90.0,87.0,91.0,92.0,88.0,91.0,92.0,91.0,87.0,84.0,90.0,89.0,87.0
"Altria Group, Inc.",Consumer Defensive,Tobacco,US,MO,95.0,94.0,94.0,92.0,93.0,95.0,89.0,94.0,82.0,92.0,95.0,99.0,87.0,88.0,88.0,87.0,86.0
American Tower Corporation,Real Estate,REIT - Specialty,US,AMT,95.0,94.0,95.0,95.0,94.0,91.0,94.0,94.0,89.0,94.0,93.0,93.0,88.0,90.0,91.0,91.0,91.0
Lam Research Corporation,Technology,Semiconductors,US,LRCX,82.0,83.0,82.0,82.0,81.0,81.0,80.0,82.0,76.0,76.0,76.0,74.0,74.0,71.0,66.0,66.0,61.0
GE Vernova Inc.,Utilities,Renewable Utilities,US,GEV,39.0,44.0,38.0,56.0,24.0,47.0,39.0,43.0,22.0,36.0,37.0,19.0,31.0,30.0,16.0,27.0,26.0
Elevance Health Inc.,Healthcare,Medical - Healthcare Plans,US,ELV,42.0,48.0,43.0,27.0,97.0,37.0,41.0,48.0,41.0,42.0,43.0,41.0,38.0,35.0,35.0,35.0,34.0
"Apollo Global Management, Inc.",Financial Services,Asset Management - Global,US,APO,79.0,79.0,75.0,83.0,85.0,72.0,91.0,78.0,15.0,84.0,94.0,87.0,72.0,93.0,87.0,73.0,84.0
Cigna Corporation,Healthcare,Medical - Healthcare Plans,US,CI,36.0,47.0,41.0,44.0,22.0,39.0,41.0,46.0,42.0,42.0,45.0,10.0,45.0,44.0,41.0,43.0,44.0
"Intercontinental Exchange, Inc.",Financial Services,Financial - Data & Stock Exchanges,US,ICE,92.0,91.0,90.0,91.0,92.0,88.0,91.0,91.0,78.0,96.0,90.0,90.0,87.0,90.0,86.0,86.0,85.0
Parker-Hannifin Corporation,Industrials,Industrial - Machinery,US,PH,76.0,77.0,73.0,76.0,76.0,76.0,62.0,73.0,58.0,66.0,63.0,62.0,58.0,55.0,52.0,53.0,56.0
Cintas Corporation,Industrials,Specialty Business Services,US,CTAS,77.0,78.0,76.0,78.0,78.0,76.0,73.0,76.0,70.0,69.0,69.0,67.0,63.0,61.0,61.0,61.0,58.0
"Equinix, Inc.",Real Estate,REIT - Specialty,US,EQIX,86.0,76.0,78.0,87.0,87.0,82.0,85.0,76.0,81.0,82.0,87.0,87.0,83.0,82.0,81.0,81.0,81.0
"Waste Management, Inc.",Industrials,Waste Management,US,WM,79.0,79.0,79.0,81.0,81.0,79.0,76.0,79.0,72.0,71.0,74.0,73.0,72.0,70.0,70.0,69.0,67.0
Duke Energy Corporation,Utilities,Regulated Electric,US,DUK,90.0,90.0,89.0,88.0,90.0,88.0,90.0,89.0,83.0,87.0,85.0,86.0,80.0,82.0,81.0,80.0,77.0
Amphenol Corporation,Technology,"Hardware, Equipment & Parts",US,APH,75.0,76.0,74.0,76.0,76.0,76.0,72.0,75.0,68.0,68.0,70.0,70.0,68.0,66.0,67.0,66.0,66.0
Duke Energy Corporation 5.625% ,Utilities,Regulated Electric,US,DUKB,90.0,90.0,89.0,88.0,90.0,88.0,90.0,89.0,83.0,87.0,85.0,86.0,80.0,82.0,81.0,80.0,77.0
"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,US,CRWD,46.0,55.0,44.0,58.0,48.0,51.0,49.0,24.0,21.0,20.0,15.0,11.0,8.0,6.0,,,
"Mondelez International, Inc.",Consumer Defensive,Food Confectioners,US,MDLZ,71.0,74.0,65.0,56.0,83.0,66.0,59.0,74.0,59.0,66.0,67.0,65.0,59.0,60.0,57.0,50.0,52.0
Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,US,MCO,91.0,89.0,89.0,90.0,91.0,86.0,88.0,88.0,83.0,89.0,91.0,89.0,85.0,85.0,85.0,85.0,85.0
Welltower Inc.,Real Estate,REIT - Healthcare Facilities,US,WELL,86.0,84.0,83.0,84.0,86.0,84.0,81.0,84.0,77.0,80.0,84.0,87.0,82.0,82.0,88.0,89.0,89.0
