Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Visa Inc.,Financial Services,Financial - Credit Services,US,V,67.0,68.0,74.0,70.0,76.0,61.0,74.0,72.0,77.0,76.0,65.0,69.0,74.0,75.0,59.0,64.0,79.0
UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,US,UNH,57.0,64.0,74.0,72.0,39.0,36.0,55.0,64.0,66.0,62.0,66.0,66.0,62.0,64.0,57.0,64.0,62.0
Exxon Mobil Corporation,Energy,Oil & Gas Integrated,US,XOM,62.0,65.0,74.0,57.0,73.0,64.0,74.0,65.0,77.0,78.0,29.0,54.0,64.0,61.0,50.0,50.0,58.0
Oracle Corporation,Technology,Software - Infrastructure,US,ORCL,70.0,71.0,75.0,72.0,85.0,48.0,76.0,77.0,66.0,72.0,68.0,68.0,70.0,68.0,67.0,67.0,71.0
Mastercard Incorporated,Financial Services,Financial - Credit Services,US,MA,70.0,70.0,77.0,74.0,63.0,75.0,70.0,70.0,74.0,74.0,67.0,73.0,69.0,74.0,69.0,70.0,62.0
Costco Wholesale Corporation,Consumer Defensive,Discount Stores,US,COST,59.0,61.0,57.0,71.0,48.0,67.0,69.0,68.0,58.0,64.0,68.0,63.0,56.0,73.0,49.0,59.0,61.0
"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,US,HD,70.0,72.0,59.0,64.0,75.0,68.0,59.0,59.0,63.0,73.0,67.0,67.0,68.0,64.0,65.0,64.0,66.0
The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,US,PG,69.0,69.0,61.0,68.0,76.0,63.0,63.0,65.0,65.0,69.0,69.0,73.0,68.0,54.0,65.0,66.0,59.0
"Netflix, Inc.",Communication Services,Entertainment,US,NFLX,76.0,79.0,74.0,59.0,76.0,67.0,72.0,79.0,68.0,51.0,73.0,47.0,41.0,43.0,34.0,34.0,45.0
Johnson & Johnson,Healthcare,Drug Manufacturers - General,US,JNJ,72.0,62.0,72.0,73.0,67.0,71.0,67.0,62.0,67.0,67.0,69.0,70.0,67.0,67.0,62.0,65.0,65.0
Bank of America Corporation,Financial Services,Banks - Diversified,US,BAC,49.0,79.0,20.0,66.0,35.0,80.0,66.0,79.0,48.0,40.0,64.0,79.0,76.0,45.0,53.0,65.0,58.0
"Salesforce, Inc.",Technology,Software - Application,US,CRM,72.0,71.0,60.0,48.0,82.0,76.0,66.0,68.0,63.0,51.0,65.0,65.0,63.0,64.0,37.0,34.0,31.0
AbbVie Inc.,Healthcare,Drug Manufacturers - General,US,ABBV,73.0,75.0,81.0,63.0,76.0,69.0,73.0,75.0,79.0,80.0,74.0,74.0,78.0,78.0,65.0,78.0,60.0
Chevron Corporation,Energy,Oil & Gas Integrated,US,CVX,63.0,66.0,71.0,59.0,63.0,74.0,67.0,66.0,76.0,75.0,31.0,62.0,70.0,59.0,18.0,39.0,47.0
The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,US,KO,57.0,65.0,43.0,75.0,50.0,58.0,66.0,65.0,64.0,72.0,65.0,71.0,62.0,58.0,57.0,61.0,63.0
"T-Mobile US, Inc.",Communication Services,Telecommunications Services,US,TMUS,70.0,69.0,68.0,69.0,75.0,66.0,70.0,69.0,68.0,67.0,65.0,69.0,58.0,46.0,63.0,64.0,59.0
"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,US,MRK,65.0,58.0,80.0,74.0,76.0,25.0,80.0,58.0,76.0,71.0,59.0,71.0,70.0,53.0,56.0,69.0,54.0
Wells Fargo & Company,Financial Services,Banks - Diversified,US,WFC,74.0,77.0,55.0,81.0,34.0,75.0,85.0,77.0,78.0,38.0,44.0,46.0,76.0,66.0,38.0,46.0,43.0
Royal Bank of Canada,Financial Services,Banks - Diversified,CA,RY.TO,50.0,38.0,47.0,69.0,57.0,51.0,42.0,71.0,65.0,71.0,85.0,58.0,65.0,83.0,78.0,82.0,85.0
"Cisco Systems, Inc.",Technology,Communication Equipment,US,CSCO,60.0,59.0,65.0,67.0,83.0,51.0,56.0,78.0,67.0,72.0,70.0,73.0,65.0,67.0,67.0,66.0,65.0
"Advanced Micro Devices, Inc.",Technology,Semiconductors,US,AMD,47.0,52.0,54.0,58.0,67.0,49.0,54.0,51.0,63.0,74.0,64.0,71.0,40.0,37.0,34.0,16.0,41.0
Adobe Inc.,Technology,Software - Infrastructure,US,ADBE,67.0,66.0,68.0,74.0,73.0,65.0,65.0,67.0,75.0,74.0,72.0,71.0,73.0,73.0,74.0,66.0,63.0
"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,US,PEP,66.0,68.0,74.0,69.0,44.0,71.0,76.0,68.0,63.0,67.0,66.0,64.0,56.0,64.0,64.0,67.0,67.0
Morgan Stanley,Financial Services,Financial - Capital Markets,US,MS,33.0,33.0,35.0,32.0,82.0,29.0,71.0,32.0,35.0,80.0,32.0,83.0,64.0,29.0,41.0,58.0,32.0
"ServiceNow, Inc.",Technology,Software - Application,US,NOW,69.0,69.0,63.0,55.0,72.0,79.0,51.0,69.0,67.0,66.0,67.0,71.0,34.0,37.0,17.0,33.0,31.0
The Walt Disney Company,Communication Services,Entertainment,US,DIS,69.0,70.0,73.0,54.0,50.0,52.0,73.0,69.0,60.0,55.0,43.0,44.0,68.0,64.0,70.0,65.0,64.0
McDonald's Corporation,Consumer Cyclical,Restaurants,US,MCD,72.0,72.0,74.0,62.0,75.0,66.0,76.0,73.0,67.0,75.0,65.0,73.0,70.0,61.0,63.0,64.0,65.0
American Express Company,Financial Services,Financial - Credit Services,US,AXP,66.0,70.0,42.0,68.0,78.0,70.0,81.0,70.0,81.0,80.0,55.0,75.0,60.0,78.0,63.0,70.0,74.0
International Business Machines Corporation,Technology,Information Technology Services,US,IBM,72.0,73.0,42.0,57.0,73.0,71.0,66.0,73.0,64.0,66.0,75.0,68.0,68.0,71.0,66.0,69.0,69.0
Philip Morris International Inc.,Consumer Defensive,Tobacco,US,PM,67.0,66.0,65.0,86.0,53.0,71.0,71.0,67.0,71.0,77.0,72.0,75.0,71.0,72.0,68.0,68.0,63.0
Abbott Laboratories,Healthcare,Medical - Devices,US,ABT,61.0,59.0,69.0,67.0,54.0,73.0,67.0,59.0,65.0,71.0,69.0,61.0,65.0,70.0,60.0,46.0,58.0
Thermo Fisher Scientific Inc.,Healthcare,Medical - Diagnostics & Research,US,TMO,62.0,61.0,62.0,65.0,56.0,71.0,67.0,61.0,64.0,67.0,73.0,64.0,64.0,66.0,62.0,60.0,62.0
"Intuitive Surgical, Inc.",Healthcare,Medical - Instruments & Supplies,US,ISRG,60.0,64.0,64.0,73.0,51.0,51.0,60.0,64.0,57.0,69.0,59.0,69.0,61.0,68.0,70.0,66.0,59.0
General Electric Company,Industrials,Aerospace & Defense,US,GE,56.0,50.0,64.0,56.0,50.0,70.0,74.0,50.0,69.0,37.0,36.0,46.0,30.0,46.0,34.0,34.0,68.0
Shopify Inc.,Technology,Software - Application,CA,SHOP.TO,64.0,64.0,,64.0,39.0,51.0,46.0,64.0,23.0,42.0,59.0,37.0,30.0,21.0,22.0,35.0,15.0
Intuit Inc.,Technology,Software - Application,US,INTU,65.0,65.0,51.0,26.0,87.0,69.0,36.0,72.0,70.0,72.0,68.0,71.0,75.0,72.0,64.0,73.0,72.0
Caterpillar Inc.,Industrials,Agricultural - Machinery,US,CAT,73.0,74.0,68.0,70.0,61.0,68.0,70.0,74.0,65.0,64.0,62.0,64.0,64.0,61.0,30.0,62.0,63.0
"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,US,GS,33.0,34.0,29.0,83.0,67.0,56.0,27.0,34.0,70.0,55.0,31.0,73.0,82.0,26.0,46.0,64.0,30.0
Texas Instruments Incorporated,Technology,Semiconductors,US,TXN,62.0,61.0,67.0,70.0,62.0,68.0,70.0,61.0,70.0,76.0,68.0,69.0,76.0,73.0,71.0,73.0,73.0
Verizon Communications Inc.,Communication Services,Telecommunications Services,US,VZ,71.0,72.0,71.0,75.0,71.0,44.0,73.0,72.0,69.0,71.0,76.0,74.0,77.0,63.0,59.0,77.0,70.0
QUALCOMM Incorporated,Technology,Semiconductors,US,QCOM,70.0,70.0,63.0,66.0,78.0,65.0,77.0,75.0,63.0,76.0,64.0,81.0,28.0,54.0,72.0,55.0,66.0
Booking Holdings Inc.,Consumer Cyclical,Travel Services,US,BKNG,74.0,74.0,67.0,71.0,84.0,69.0,61.0,75.0,83.0,76.0,51.0,65.0,72.0,74.0,74.0,67.0,71.0
Danaher Corporation,Healthcare,Medical - Diagnostics & Research,US,DHR,60.0,60.0,61.0,58.0,70.0,61.0,58.0,60.0,66.0,69.0,70.0,57.0,64.0,59.0,58.0,59.0,65.0
Comcast Corporation,Communication Services,Telecommunications Services,US,CMCSA,69.0,71.0,72.0,60.0,78.0,61.0,70.0,71.0,71.0,72.0,67.0,71.0,70.0,66.0,68.0,72.0,73.0
AT&T Inc.,Communication Services,Telecommunications Services,US,T,76.0,77.0,46.0,74.0,72.0,76.0,73.0,77.0,42.0,72.0,47.0,76.0,72.0,66.0,72.0,73.0,66.0
AT&T Inc. 5.35% GLB NTS 66,Communication Services,Telecommunications Services,US,TBB,76.0,76.0,46.0,73.0,72.0,76.0,72.0,76.0,54.0,72.0,52.0,76.0,72.0,66.0,73.0,73.0,65.0
AT&T Inc. 5.625% Global Notes d,Communication Services,Telecommunications Services,US,TBC,77.0,76.0,46.0,74.0,71.0,76.0,72.0,76.0,52.0,70.0,52.0,76.0,,,,,
RTX Corporation,Industrials,Aerospace & Defense,US,RTX,63.0,62.0,59.0,74.0,42.0,72.0,45.0,62.0,61.0,69.0,34.0,70.0,60.0,66.0,49.0,55.0,65.0
"BlackRock, Inc.",Financial Services,Asset Management,US,BLK,57.0,57.0,60.0,74.0,49.0,71.0,68.0,57.0,64.0,66.0,66.0,57.0,54.0,68.0,52.0,60.0,57.0
"NextEra Energy, Inc.",Utilities,Regulated Electric,US,NEE,73.0,69.0,71.0,70.0,69.0,65.0,70.0,69.0,66.0,64.0,65.0,68.0,55.0,61.0,66.0,69.0,68.0
S&P Global Inc.,Financial Services,Financial - Data & Stock Exchanges,US,SPGI,71.0,68.0,64.0,72.0,65.0,70.0,66.0,68.0,52.0,72.0,78.0,77.0,68.0,75.0,73.0,49.0,34.0
Amgen Inc.,Healthcare,Drug Manufacturers - General,US,AMGN,65.0,64.0,72.0,81.0,55.0,50.0,63.0,64.0,70.0,69.0,72.0,66.0,71.0,73.0,72.0,69.0,72.0
The Progressive Corporation,Financial Services,Insurance - Property & Casualty,US,PGR,77.0,76.0,71.0,65.0,81.0,63.0,75.0,76.0,61.0,72.0,70.0,68.0,78.0,73.0,69.0,70.0,60.0
"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement,US,LOW,65.0,63.0,53.0,64.0,84.0,61.0,50.0,63.0,66.0,79.0,56.0,72.0,60.0,69.0,62.0,67.0,65.0
Stryker Corporation,Healthcare,Medical - Devices,US,SYK,65.0,67.0,72.0,66.0,50.0,70.0,67.0,67.0,57.0,63.0,70.0,55.0,65.0,55.0,67.0,49.0,60.0
Honeywell International Inc.,Industrials,Conglomerates,US,HON,63.0,62.0,69.0,69.0,53.0,77.0,67.0,62.0,61.0,64.0,63.0,67.0,63.0,66.0,61.0,64.0,65.0
"Uber Technologies, Inc.",Technology,Software - Application,US,UBER,70.0,66.0,64.0,66.0,48.0,51.0,61.0,66.0,40.0,42.0,33.0,15.0,19.0,47.0,39.0,,
Union Pacific Corporation,Industrials,Railroads,US,UNP,67.0,66.0,73.0,64.0,73.0,70.0,67.0,66.0,72.0,72.0,71.0,69.0,72.0,60.0,70.0,67.0,69.0
"Applied Materials, Inc.",Technology,Semiconductors,US,AMAT,66.0,43.0,60.0,74.0,64.0,73.0,59.0,76.0,66.0,71.0,70.0,63.0,69.0,71.0,75.0,52.0,74.0
The Charles Schwab Corporation,Financial Services,Financial - Capital Markets,US,SCHW,80.0,87.0,67.0,39.0,44.0,68.0,24.0,86.0,56.0,48.0,65.0,73.0,91.0,46.0,73.0,52.0,73.0
Pfizer Inc.,Healthcare,Drug Manufacturers - General,US,PFE,61.0,57.0,80.0,28.0,54.0,42.0,40.0,57.0,69.0,80.0,73.0,57.0,66.0,65.0,74.0,67.0,68.0
Blackstone Inc.,Financial Services,Asset Management,US,BX,67.0,70.0,67.0,77.0,56.0,66.0,69.0,70.0,84.0,69.0,63.0,71.0,62.0,42.0,45.0,85.0,62.0
KKR & Co. Inc.,Financial Services,Asset Management,US,KKR,75.0,60.0,66.0,71.0,67.0,65.0,74.0,60.0,63.0,41.0,39.0,44.0,29.0,31.0,28.0,39.0,46.0
The Toronto-Dominion Bank,Financial Services,Banks - Diversified,CA,TD.TO,69.0,38.0,49.0,51.0,32.0,49.0,66.0,29.0,73.0,68.0,86.0,38.0,54.0,77.0,86.0,86.0,77.0
"The TJX Companies, Inc.",Consumer Cyclical,Apparel - Retail,US,TJX,67.0,70.0,55.0,71.0,56.0,77.0,58.0,66.0,57.0,66.0,64.0,71.0,57.0,69.0,60.0,66.0,58.0
Boston Scientific Corporation,Healthcare,Medical - Devices,US,BSX,67.0,68.0,65.0,75.0,49.0,68.0,60.0,68.0,60.0,67.0,39.0,66.0,42.0,69.0,70.0,29.0,72.0
Palantir Technologies Inc.,Technology,Software - Infrastructure,US,PLTR,69.0,68.0,73.0,58.0,58.0,70.0,62.0,68.0,27.0,35.0,19.0,33.0,39.0,,,,
Enbridge Inc.,Energy,Oil & Gas Midstream,CA,ENB.TO,69.0,73.0,62.0,60.0,72.0,70.0,67.0,73.0,71.0,59.0,69.0,58.0,70.0,64.0,60.0,56.0,44.0
Enbridge Inc,Energy,Oil & Gas Midstream,CA,ENB-PA.TO,69.0,73.0,62.0,60.0,72.0,70.0,67.0,73.0,71.0,59.0,69.0,58.0,70.0,64.0,60.0,56.0,44.0
Citigroup Inc.,Financial Services,Banks - Diversified,US,C,26.0,16.0,17.0,36.0,82.0,24.0,77.0,16.0,60.0,81.0,29.0,31.0,77.0,37.0,75.0,64.0,62.0
"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,US,PANW,65.0,66.0,80.0,62.0,67.0,53.0,81.0,70.0,34.0,34.0,29.0,31.0,32.0,33.0,34.0,33.0,21.0
ConocoPhillips,Energy,Oil & Gas Exploration & Production,US,COP,71.0,70.0,79.0,70.0,77.0,71.0,78.0,71.0,83.0,85.0,32.0,68.0,80.0,48.0,28.0,25.0,63.0
Lockheed Martin Corporation,Industrials,Aerospace & Defense,US,LMT,65.0,65.0,69.0,65.0,65.0,63.0,75.0,65.0,65.0,71.0,68.0,73.0,48.0,74.0,61.0,69.0,58.0
"Arista Networks, Inc.",Technology,Computer Hardware,US,ANET,75.0,69.0,65.0,67.0,65.0,58.0,67.0,69.0,51.0,62.0,55.0,69.0,51.0,67.0,47.0,61.0,64.0
"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,US,ADP,66.0,66.0,59.0,68.0,78.0,75.0,51.0,71.0,66.0,66.0,67.0,64.0,67.0,63.0,57.0,62.0,61.0
"Fiserv, Inc.",Technology,Information Technology Services,US,FI,70.0,68.0,80.0,70.0,62.0,69.0,73.0,69.0,70.0,66.0,72.0,72.0,66.0,65.0,68.0,69.0,72.0
Brookfield Corporation,Financial Services,Asset Management,CA,BN.TO,61.0,62.0,,48.0,52.0,59.0,78.0,62.0,65.0,52.0,74.0,67.0,68.0,72.0,69.0,63.0,58.0
Deere & Company,Industrials,Agricultural - Machinery,US,DE,71.0,69.0,73.0,69.0,44.0,80.0,73.0,69.0,50.0,67.0,75.0,62.0,41.0,42.0,58.0,58.0,55.0
Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,US,BMY,52.0,77.0,84.0,69.0,61.0,71.0,84.0,77.0,71.0,78.0,61.0,71.0,68.0,73.0,62.0,45.0,52.0
Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,US,VRTX,48.0,63.0,77.0,21.0,81.0,52.0,70.0,64.0,77.0,66.0,79.0,71.0,64.0,60.0,39.0,31.0,16.0
"Micron Technology, Inc.",Technology,Semiconductors,US,MU,75.0,76.0,72.0,72.0,59.0,47.0,46.0,29.0,77.0,77.0,63.0,71.0,83.0,83.0,27.0,69.0,82.0
Starbucks Corporation,Consumer Cyclical,Restaurants,US,SBUX,68.0,68.0,65.0,77.0,55.0,75.0,70.0,72.0,65.0,77.0,56.0,60.0,85.0,63.0,71.0,74.0,46.0
"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,US,UPS,60.0,61.0,55.0,58.0,77.0,63.0,58.0,61.0,67.0,73.0,67.0,55.0,79.0,39.0,59.0,70.0,59.0
"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,US,GILD,71.0,67.0,82.0,62.0,65.0,74.0,61.0,68.0,71.0,78.0,69.0,71.0,65.0,71.0,70.0,80.0,81.0
"NIKE, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,US,NKE,70.0,68.0,47.0,70.0,69.0,77.0,43.0,62.0,56.0,71.0,48.0,68.0,70.0,60.0,50.0,69.0,58.0
"Marsh & McLennan Companies, Inc.",Financial Services,Insurance - Brokers,US,MMC,67.0,68.0,74.0,75.0,48.0,69.0,71.0,68.0,65.0,65.0,72.0,60.0,70.0,59.0,63.0,59.0,71.0
The Boeing Company,Industrials,Aerospace & Defense,US,BA,39.0,41.0,32.0,40.0,45.0,54.0,24.0,41.0,39.0,42.0,26.0,40.0,70.0,72.0,70.0,67.0,67.0
AppLovin Corporation,Technology,Software - Application,US,APP,79.0,84.0,73.0,73.0,80.0,80.0,65.0,84.0,46.0,69.0,43.0,73.0,55.0,,,,
"Analog Devices, Inc.",Technology,Semiconductors,US,ADI,63.0,,69.0,65.0,65.0,65.0,62.0,68.0,74.0,69.0,66.0,66.0,77.0,56.0,74.0,64.0,63.0
"Prologis, Inc.",Real Estate,REIT - Industrial,US,PLD,68.0,70.0,69.0,61.0,69.0,58.0,74.0,70.0,68.0,61.0,70.0,67.0,58.0,63.0,65.0,62.0,61.0
Intel Corporation,Technology,Semiconductors,US,INTC,24.0,56.0,30.0,42.0,49.0,57.0,70.0,56.0,52.0,68.0,76.0,76.0,74.0,67.0,73.0,66.0,68.0
Canadian Natural Resources Limited,Energy,Oil & Gas Exploration & Production,CA,CNQ.TO,71.0,69.0,67.0,78.0,73.0,79.0,74.0,69.0,82.0,85.0,38.0,70.0,79.0,75.0,30.0,33.0,66.0
Thomson Reuters Corporation,Industrials,Specialty Business Services,CA,TRI.TO,69.0,66.0,69.0,69.0,64.0,63.0,67.0,66.0,65.0,41.0,74.0,49.0,49.0,57.0,59.0,71.0,65.0
Dell Technologies Inc.,Technology,Computer Hardware,US,DELL,58.0,80.0,30.0,64.0,60.0,62.0,67.0,55.0,70.0,74.0,58.0,43.0,49.0,40.0,33.0,37.0,
Constellation Software Inc.,Technology,Software - Application,CA,CSU.TO,67.0,69.0,51.0,56.0,78.0,69.0,80.0,69.0,72.0,71.0,79.0,75.0,74.0,73.0,76.0,73.0,80.0
Canadian Pacific Railway Limited,Industrials,Railroads,CA,CP.TO,62.0,39.0,61.0,64.0,65.0,67.0,62.0,39.0,67.0,68.0,66.0,70.0,71.0,64.0,62.0,72.0,67.0
Southern Company (The) Series 2,Utilities,Regulated Electric,US,SOJD,67.0,66.0,73.0,72.0,61.0,58.0,69.0,66.0,62.0,61.0,67.0,52.0,62.0,64.0,52.0,62.0,59.0
The Southern Company,Utilities,Regulated Electric,US,SO,67.0,66.0,73.0,72.0,61.0,58.0,69.0,66.0,62.0,61.0,67.0,52.0,62.0,64.0,52.0,62.0,59.0
The Sherwin-Williams Company,Basic Materials,Chemicals - Specialty,US,SHW,70.0,73.0,63.0,78.0,46.0,63.0,68.0,73.0,58.0,58.0,73.0,68.0,63.0,64.0,58.0,69.0,59.0
The Bank of Nova Scotia,Financial Services,Banks - Diversified,CA,BNS.TO,53.0,36.0,41.0,59.0,35.0,61.0,60.0,68.0,82.0,33.0,84.0,32.0,82.0,83.0,56.0,88.0,60.0
Bank of Montreal,Financial Services,Banks - Diversified,CA,BMO.TO,70.0,67.0,39.0,45.0,71.0,68.0,62.0,74.0,51.0,73.0,80.0,79.0,92.0,69.0,42.0,68.0,42.0
The Southern Company JR 2017B NT 77,Utilities,Regulated Electric,US,SOJC,67.0,66.0,73.0,72.0,61.0,58.0,69.0,66.0,62.0,61.0,67.0,52.0,62.0,64.0,52.0,62.0,59.0
Canadian National Railway Company,Industrials,Railroads,CA,CNR.TO,68.0,68.0,66.0,70.0,66.0,74.0,63.0,68.0,69.0,72.0,72.0,69.0,68.0,66.0,68.0,71.0,71.0
"Altria Group, Inc.",Consumer Defensive,Tobacco,US,MO,72.0,76.0,84.0,52.0,79.0,79.0,84.0,76.0,75.0,82.0,79.0,41.0,77.0,66.0,54.0,72.0,67.0
American Tower Corporation,Real Estate,REIT - Specialty,US,AMT,78.0,73.0,54.0,68.0,75.0,67.0,67.0,73.0,64.0,71.0,70.0,69.0,75.0,70.0,74.0,69.0,74.0
Lam Research Corporation,Technology,Semiconductors,US,LRCX,67.0,65.0,76.0,60.0,74.0,75.0,63.0,75.0,62.0,72.0,61.0,76.0,72.0,73.0,73.0,61.0,57.0
GE Vernova Inc.,Utilities,Renewable Utilities,US,GEV,65.0,40.0,33.0,69.0,40.0,75.0,43.0,40.0,37.0,49.0,,,,,,,
Elevance Health Inc.,Healthcare,Medical - Healthcare Plans,US,ELV,45.0,63.0,71.0,38.0,78.0,26.0,64.0,64.0,62.0,59.0,73.0,66.0,48.0,59.0,50.0,62.0,57.0
"Apollo Global Management, Inc.",Financial Services,Asset Management - Global,US,APO,67.0,79.0,79.0,68.0,63.0,65.0,43.0,79.0,39.0,70.0,35.0,79.0,45.0,80.0,77.0,85.0,30.0
Cigna Corporation,Healthcare,Medical - Healthcare Plans,US,CI,67.0,71.0,39.0,39.0,40.0,56.0,63.0,71.0,64.0,56.0,62.0,54.0,51.0,65.0,71.0,64.0,65.0
"Intercontinental Exchange, Inc.",Financial Services,Financial - Data & Stock Exchanges,US,ICE,66.0,65.0,60.0,68.0,72.0,71.0,59.0,65.0,71.0,66.0,67.0,68.0,68.0,60.0,71.0,55.0,72.0
Parker-Hannifin Corporation,Industrials,Industrial - Machinery,US,PH,65.0,66.0,57.0,73.0,71.0,63.0,53.0,64.0,65.0,71.0,70.0,65.0,67.0,61.0,59.0,60.0,64.0
Cintas Corporation,Industrials,Specialty Business Services,US,CTAS,70.0,70.0,60.0,69.0,79.0,66.0,57.0,66.0,69.0,67.0,70.0,66.0,65.0,68.0,50.0,59.0,65.0
"Equinix, Inc.",Real Estate,REIT - Specialty,US,EQIX,65.0,65.0,60.0,70.0,65.0,68.0,66.0,65.0,70.0,68.0,70.0,68.0,68.0,71.0,67.0,71.0,39.0
"Waste Management, Inc.",Industrials,Waste Management,US,WM,68.0,68.0,68.0,64.0,74.0,69.0,69.0,68.0,70.0,73.0,66.0,71.0,70.0,68.0,72.0,71.0,65.0
Duke Energy Corporation,Utilities,Regulated Electric,US,DUK,60.0,72.0,39.0,66.0,67.0,60.0,73.0,72.0,59.0,62.0,68.0,64.0,61.0,58.0,61.0,61.0,64.0
Amphenol Corporation,Technology,"Hardware, Equipment & Parts",US,APH,66.0,68.0,64.0,65.0,66.0,71.0,65.0,68.0,71.0,61.0,66.0,70.0,58.0,64.0,63.0,67.0,65.0
Duke Energy Corporation 5.625% ,Utilities,Regulated Electric,US,DUKB,60.0,72.0,39.0,66.0,67.0,60.0,73.0,72.0,59.0,62.0,68.0,64.0,61.0,58.0,61.0,61.0,64.0
"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,US,CRWD,60.0,62.0,53.0,57.0,64.0,64.0,61.0,35.0,35.0,36.0,36.0,31.0,38.0,42.0,,,
"Mondelez International, Inc.",Consumer Defensive,Food Confectioners,US,MDLZ,65.0,62.0,64.0,49.0,69.0,65.0,64.0,62.0,59.0,62.0,62.0,58.0,66.0,48.0,51.0,54.0,50.0
Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,US,MCO,74.0,73.0,68.0,66.0,80.0,67.0,63.0,73.0,63.0,66.0,74.0,72.0,75.0,55.0,78.0,71.0,69.0
Welltower Inc.,Real Estate,REIT - Healthcare Facilities,US,WELL,65.0,70.0,62.0,67.0,69.0,62.0,65.0,70.0,69.0,67.0,44.0,66.0,66.0,62.0,67.0,67.0,68.0
"Synopsys, Inc.",Technology,Software - Infrastructure,US,SNPS,57.0,44.0,50.0,66.0,74.0,46.0,59.0,66.0,73.0,73.0,69.0,72.0,50.0,66.0,69.0,61.0,68.0
